leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0a208398-09e9-424c-bb43-908a2e41ddad,RANKED_SOLO_5x5,BRONZE,I,v9XC8qrfHfNhvilUT20u9RtT_bTrdMbeJFsQZNbStetHDU_S,24,120,122,False,False,False,False
9b790e3d-df34-4d3d-8603-de20384a58e3,RANKED_SOLO_5x5,BRONZE,I,HAmt0Y1ODu_kRROmI0IErKkM8GAB0lvJPnqvwhPxU394-KSB,66,110,103,False,False,False,False
ab49cd13-5cdd-4e96-889c-f67c06f65a22,RANKED_SOLO_5x5,BRONZE,I,uYuKlpYRXDuFn2p-qXj_gslEwZAQEFZQPJTRzO4A_ehohFaw,29,136,129,False,False,False,False
66b56241-304d-4985-915c-08b8b414cdbd,RANKED_SOLO_5x5,BRONZE,I,-Bel0oF6tj5gEz_pD-7MUARYgCEfazicYraRLzXqK1jR2_Wp,6,146,149,False,False,True,False
756fcbf7-cfb6-4156-8d30-10632a5ce112,RANKED_SOLO_5x5,BRONZE,I,_oTCwIDrvnummWp7_CllEj_GtU5mxUDw8vPrpDtUsTw-4idC,48,165,152,False,False,True,False
0b0b544c-a529-4065-9b19-bfd4578490b5,RANKED_SOLO_5x5,BRONZE,I,vc1TOdxiuJDQ0U6Vcjoh3l1EgKwRMmziF9yqv9d53bnvedML,70,105,111,False,False,False,False
7a5dd3f8-a889-4e61-8b73-49ff3e4c5981,RANKED_SOLO_5x5,BRONZE,I,yVHEVznFOVx5SJA3LXVPMx1BIj9LUI2dypYCmPcsxEdiSB3Y,50,144,136,False,False,True,False
0b3a7bc3-7976-4a13-bdcb-feadab7118c0,RANKED_SOLO_5x5,BRONZE,I,gydg4937s-NkmITl0QfWXPc3EkzcIgnQJLkbI2MkRDQBGhGT,22,251,250,False,False,True,False
12a1db9b-327b-4ee9-82d8-f6a8e43ab8b1,RANKED_SOLO_5x5,BRONZE,I,pwX1dVq8kmmErQZDqwJj5sZmDaNOzI9MtZ_fDijqyujGahmj,22,113,109,False,False,False,False
7a59fb4e-04f1-4fe3-84d1-4b8bad78bff5,RANKED_SOLO_5x5,BRONZE,I,8UT-vp6Pyfoi42CXReCyGP8_-NtFOFEzqJxmp-gZpRp1E_Rl,20,150,148,False,False,False,False
b83f32b9-2a44-49a1-b8f5-998ff6ebe54d,RANKED_SOLO_5x5,BRONZE,I,ZFD_2MZMsh6jGjlir8fb7KtyueDbdzX7XdKexJR1mcTFBOrs,87,183,194,False,False,True,False
c9b88a1c-9283-4e17-9727-f2cac4f9c005,RANKED_SOLO_5x5,BRONZE,I,6GQPTwpl_x9a3D5q3uOpezFBAOW3z2E6N92FzcxDtpkzdbAW,66,122,119,False,False,False,True
e252eee6-9907-4aab-884c-f27c69cb5fed,RANKED_SOLO_5x5,BRONZE,I,jnoaO5X0-Lu0xjQVi08IsVP4yskZL88XO4rNwb80KGpr9tT6,15,122,134,False,False,False,False
b589045b-790e-4353-baa4-4a9840d1bd10,RANKED_SOLO_5x5,BRONZE,I,jvyRT_pNNx4DUqTi9a4ydMkZGi-TyhBbVJbqj-oUQrFhR84s,7,108,104,False,False,False,False
52d8e6b2-3b6a-4699-9496-5d643f901e16,RANKED_SOLO_5x5,BRONZE,I,jpFK2W3UjSsrdXs5EVXZdRUGO514pvaFFbRodiHbnWqDVf3u,55,100,108,False,False,False,False
6b48eb87-120b-4545-a906-e036fd8e8462,RANKED_SOLO_5x5,BRONZE,I,VWwo3rmWk8fZkheRvZ2ViDIrE5FlBoQCTyMkolo8Y-bHOj5x,10,113,117,False,False,True,False
4a167bba-2814-49b4-899b-27f64aa2e750,RANKED_SOLO_5x5,BRONZE,I,3ENVoaxUajMBpZUl4BNMeu7SGL_cwr_gFYTJAw0wSsuUH2z5,1,129,121,False,False,False,True
b21421f8-fbe2-47d2-9504-430313e397f7,RANKED_SOLO_5x5,BRONZE,I,j4ulEFLrfD8vf24Bz0qjs_tIlgath1IEL2z4gsZ1delP4mGd,39,114,94,False,False,False,True
fe4560e2-b2b4-4bea-b5b1-d24b5cbdaef3,RANKED_SOLO_5x5,BRONZE,I,i1vy98-wEdKtLcRwCd0wqB2JxV-gzdGNW0lrO_wN2fQxzYc1,50,143,151,False,False,False,False
c0483727-1b78-4cf4-8a94-793a109f92d2,RANKED_SOLO_5x5,BRONZE,I,T-X3zG4_hg2Lb9ZG7VxXyQwqMWUfAFMwOPMtzBVN0Ht4uKxQ,16,131,137,False,False,False,False
dee5e61f-ca2e-4530-b3bb-481b954eaf38,RANKED_SOLO_5x5,BRONZE,I,kw8roV59iSHdWpjaZ8sULB1yxkDUrSzXndOANrMsenxaTa-L,14,133,130,False,False,True,False
a2f530b0-ce7f-440f-8f31-90d8190e4fa7,RANKED_SOLO_5x5,BRONZE,I,6KBcowI5YLcNpISFPEBi58-Zl4_xsjsiMl1GiMcZuKyUoK-F,72,114,118,False,False,False,False
2dae57b2-c2cd-47c0-9505-7ac27dec0b0d,RANKED_SOLO_5x5,BRONZE,I,F6nlznDNLz-3I4gjLaG2v1K-V8W4UCLs1Y5-LYqqNbqtzX46,63,150,153,False,False,True,False
c4057151-cedc-4d9e-a1ea-44ccf0ea0714,RANKED_SOLO_5x5,BRONZE,I,osHpd2F7dE0qZza7jdPTYCBJ2WHn9lB8uU3GFMq6aj2M5-8R,11,179,162,False,False,False,False
22bbe38d-ed26-4023-9bd0-d8f8c9b24f7d,RANKED_SOLO_5x5,BRONZE,I,l5ZJN_B49j5cOe_c5elThZbOLa_jkKHNxu_zMtNqoY4GLPgx,70,104,104,False,False,False,False
2ed593c3-3145-48da-94da-94f5ce529480,RANKED_SOLO_5x5,BRONZE,I,72pyuJc7jodKYUW3QfWfzkQhmp5GMAA3JJUuG9yzt_3AQozf,69,195,170,False,False,False,False
2f0936f0-e515-41e7-a2bb-7b84cbff4870,RANKED_SOLO_5x5,BRONZE,I,0yNez-lxjhldqIII_WP2WGK_9LcH0KueBXv-7Zn2PTrKDrOl,29,99,108,False,False,True,True
f4c3469c-eccf-4b49-9483-79b3541813ae,RANKED_SOLO_5x5,BRONZE,I,7PQ1ywIXuvDFPWhTl9yjUNUK1a0cqxKr-BdSGdOU_1cl0sUb,15,150,141,False,False,False,True
ba184d5b-452c-4f4a-9a24-4ade6d62d632,RANKED_SOLO_5x5,BRONZE,I,its9vxqN6IGnOXC8DH-leoz6RRD9DdVdecmgRCu2MiT_DJek,8,123,108,False,False,False,False
