leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
c585c61d-304b-4a0d-847a-b299962e1fd2,RANKED_SOLO_5x5,BRONZE,III,Oz14SXPy4iOLZoEFwrz4A-jzd2Olx0u-AOe6p1kdeqzDtWi5,9,110,106,False,False,False,False
4fc140b2-f023-47c2-880f-70542788d186,RANKED_SOLO_5x5,BRONZE,III,PQrtecxePCzsr3MA11iXrTRXkUUBUQedgDehbioUT7e0N5MD,30,87,124,False,False,False,False
690b13ed-d777-4c06-9ce8-fec078a9aedb,RANKED_SOLO_5x5,BRONZE,III,Q4_PziH8RDeZewi0X2VTZu1qD2uw-6YNDMNEVnqs9lrcGxl1,27,98,108,False,False,False,False
69408700-5e07-4080-ba4f-ec0bc8affef8,RANKED_SOLO_5x5,BRONZE,III,VmcfwxlhxxEkT-Iu6whY7KSQ9c1nPJjgVmPISHW56dV5xfh6,1,105,105,False,False,False,False
664222ff-44a6-46b5-8030-43e9d62e9d4f,RANKED_SOLO_5x5,BRONZE,III,UXxT2IDQed9z_yEbJYniQvOND5rLES0rHeCjRYXPqQP5ITrD,84,149,152,False,False,False,False
b19d94fb-620d-4d8f-8fad-1d99d741dc16,RANKED_SOLO_5x5,BRONZE,III,b3Tm27IL5cudhhDIWRuuMg1reuo6C52pmQ7nXpIbf5KdIqt7,99,153,130,False,False,False,False
3c103097-7d62-4604-a26e-cd9f156244d2,RANKED_SOLO_5x5,BRONZE,III,VhAktEOK4KfeXQEOP3LLK2kW88HODrQqlnJ8l3nH1pmYc7sG,36,121,114,False,False,False,False
80cfa545-b97b-46ac-aa35-6e1123b4b7b6,RANKED_SOLO_5x5,BRONZE,III,4Z8DVeg0thU1GgDSzfC0I_eOpAdQKhDOLmylV7tmOh7Fbgrr,87,158,156,False,False,False,False
60b10c9a-cfe1-468e-a5a0-ddd770199e85,RANKED_SOLO_5x5,BRONZE,III,EDsUZkT9t2KjwSbkvCpjgftBbAMEUTfJTm2oGZ3DnpNWdMZ0,70,108,105,False,False,False,False
bc58ccef-d1f6-4edf-bd39-0a5edc317b04,RANKED_SOLO_5x5,BRONZE,III,wLEp5VeTYH4M28EbhTDvTncFmyBNP4TaDhGN7xfVTsB9ETrV,22,114,103,False,False,False,False
798dd74e-cb1f-4e5a-b5bc-716e1694c123,RANKED_SOLO_5x5,BRONZE,III,aeC1WCp31ghaKqEsnMXrN5FwaZbHqrjHVUtJ95cGlJjjhktv,17,102,101,False,False,False,False
7a5dd3f8-a889-4e61-8b73-49ff3e4c5981,RANKED_SOLO_5x5,BRONZE,III,yVHEVznFOVx5SJA3LXVPMx1BIj9LUI2dypYCmPcsxEdiSB3Y,56,169,167,False,False,False,False
2be1ce23-5b3b-46e2-a134-51c21b9b0d6f,RANKED_SOLO_5x5,BRONZE,III,P_W2m5BaxtAMrPsdICVJwebwb17zeEGnwPphSEcVH_sLUPVy,87,120,117,False,False,False,False
c123e3dc-70b2-46c8-86f8-d9664b8a916a,RANKED_SOLO_5x5,BRONZE,III,-vHstoHiUcIIBUoYILJBbEpbUXNb2Avm-8YJdVpBqtLeBJEx,39,116,122,False,False,False,False
06b17d26-e5ce-4df3-ad1b-83086909fd29,RANKED_SOLO_5x5,BRONZE,III,Ck9OwOqU-RJCF_0nWF-f0D8m_as98QZ3wXGqq2A1lmBcrXKt,34,114,123,False,False,False,False
7f1b4d86-9637-4cab-8e58-e714b3cf3787,RANKED_SOLO_5x5,BRONZE,III,VitYjAOJEaljkiA84cyn-xu865_4-hRuAwSJ6YQN0CcKeZMu,99,130,125,False,False,False,False
982b0ad2-649c-4801-9b1f-b55af6565008,RANKED_SOLO_5x5,BRONZE,III,Sn8wQtQfwQ9_k_CLQ-fxLCH-EeDriEsbrqmKXTiMMAF8CvRx,29,102,101,False,False,False,False
bc33c3ee-ed0d-4dbc-a0d8-66ce910101da,RANKED_SOLO_5x5,BRONZE,III,1O-UTG40Wzcxf7ViGZGtt23METTvSjClfKXbE4hIbG0doAM8,64,189,185,False,False,False,True
31641d9f-91db-44a6-8660-473e6ad52ffd,RANKED_SOLO_5x5,BRONZE,III,MEL3C3GmiBHWecRESI536KPvRBrZRpH4JUzh8gvnOoUe2aWj,5,106,104,False,False,False,False
c721a020-107d-451c-9c46-c54d56444dea,RANKED_SOLO_5x5,BRONZE,III,BQAvAGr_67xCB_Wn5afqWCNGrPdwobcnT5fF4HXyQFpR7UHm,41,173,177,False,False,True,False
fa018738-5d31-4ef9-8b6c-8da9d8dde752,RANKED_SOLO_5x5,BRONZE,III,r68hP9_kxqZHYxQP8xw1St5oG9ekET5ORY357smrZ4vXlmXp,4,103,109,False,False,False,False
7fe06ef8-f529-4cfb-a27a-b5bdfd61000f,RANKED_SOLO_5x5,BRONZE,III,lRKrroRCecjewWINz6GpzLyR6qC0pUcGPboXLJjJ2bvTPtfp,15,151,141,False,False,False,False
61aef6d4-ed69-48cc-9792-c697d1cf7dd5,RANKED_SOLO_5x5,BRONZE,III,phql-DQ8ompcEyw2DC3XdMw-ZoRbZA4yQbc3CbhoHTgiPDzG,71,155,155,False,False,False,False
4834a14a-cfc2-42e2-b18f-7cb6e5aea375,RANKED_SOLO_5x5,BRONZE,III,CFHPovMm5FlK9XwLuXfld1JsYAk2CRNzk1fHsK-E88q4m94r,31,126,123,False,False,False,False
c6ea63df-9a16-42ed-8704-4739707f4d2f,RANKED_SOLO_5x5,BRONZE,III,98LfVPcG-k52OUA4PAxlsxfzGWQBUtDGDScQoX2GtoXvVyaM,37,119,106,False,False,False,True
dc38c696-26fe-4bfa-83a4-3234a28ed66e,RANKED_SOLO_5x5,BRONZE,III,sCT7B7tpjO78USoPHlGXeRLsA9Ht_hGuHSjaEwObp2rmLGuR,31,197,186,False,False,False,False
30b22a9d-10f4-4da1-b5d6-d1353b460e05,RANKED_SOLO_5x5,BRONZE,III,bNM62IZriZz9ThSBClFqEGBRbJC4mtb3fAAQhq7S1raf1fmy,3,141,146,False,False,False,False
0d40896b-d52a-4c02-970e-09920d8b0c20,RANKED_SOLO_5x5,BRONZE,III,F6OU5u_GP0kfwVVV8d6GJUccb3thKn0Q06dPtSKnOtoo8W7I,45,109,99,False,False,False,False
7365f74b-047c-432f-b553-4b10673da33e,RANKED_SOLO_5x5,BRONZE,III,eTdngSdU4tD3AMUeSTuBWJ-yyOGUfLeCtb3NR65m-x_QUzrZ,38,124,124,False,False,False,False
48debd3d-a711-4cd2-a133-e9f3a4e8ed93,RANKED_SOLO_5x5,BRONZE,III,ndlD2kLX3P-BR7hUt68o-QJ1CtB5d6nLyLZop4HRkhox6CHv,10,173,175,False,False,False,False
67dbcfac-ba75-48d0-b308-1b5f3cd1b964,RANKED_SOLO_5x5,BRONZE,III,hN2aZ2d1mGuln2zMAQti-MoXKcD6QhgwJj7qzgYfcP9GBBXx,57,135,145,False,False,False,False
9657844c-5189-4938-b0f0-fdf137af281f,RANKED_SOLO_5x5,BRONZE,III,yjZ-4s3TKOZPtbJkZ8LGaQQz6sM47FUBBorIsUeFNwsBvD-K,69,138,131,False,False,False,False
8dae7a59-d43c-4012-9648-b5826447b240,RANKED_SOLO_5x5,BRONZE,III,cgGxl2YIdnAqfVo5rjOeoBw5PUNUGLXiraf5TNEx02xvTCSm,51,143,145,False,False,False,False
fdf6eff6-eb6c-4b58-b858-bc208a1b247c,RANKED_SOLO_5x5,BRONZE,III,dVlYb5TnkQ7Ebw4hJExXWIZpGRlfQ-YMdE6MsJjlk-SDmyzg,55,99,107,False,False,False,False
8752ef2b-343e-45b1-a760-34455640b003,RANKED_SOLO_5x5,BRONZE,III,CAsE_ZhAI-zzrYgwe6yk5-IBKYSIufCBycgIZO9vV2sVU3d-,78,140,158,False,False,True,False
7bcc3294-7252-4c3e-8b03-a02566ccf558,RANKED_SOLO_5x5,BRONZE,III,D61l3LsZi65XSPNyCXCRx2qY2bqzPAzzkfjhKxtsKbhYDRW4,18,134,147,False,False,False,False
1f893dc2-13c2-4ac3-a2cd-7a3b5d704d74,RANKED_SOLO_5x5,BRONZE,III,MOPjgqD1QlV71U1RAF12iwPZA0JWUrCDPqnigXlaB8qv1HNq,20,107,107,False,False,False,True
71532923-fab3-4d49-970b-7925221677d9,RANKED_SOLO_5x5,BRONZE,III,JfDbdhsJOXpd3nt_L2GBN-2Q88Qnzcy4j5EVSMRdTyZ9ZRS5,81,103,110,False,False,False,False
7365f74b-047c-432f-b553-4b10673da33e,RANKED_SOLO_5x5,BRONZE,III,CpQn-4D7WOrpPInEWN3YNsu48pjMK9aDZwlVzXn8n69WdaNK,51,104,118,False,False,False,False
96c202b3-a1f4-4578-bebf-f780dec5eca9,RANKED_SOLO_5x5,BRONZE,III,d9OXPbk5QVQm0e6O7oYm2UA_ly2OONk8617gCyFlryRY4nel,6,358,362,False,False,True,False
75a36ce1-ff86-40ff-8296-6f83f8d53ede,RANKED_SOLO_5x5,BRONZE,III,TiR-lh1x5Ff3ZcyQS6YcEIqUtBUcWOlKjkBPLQnGWV9ehM4d,18,218,220,False,False,False,False
1b0b9b1f-0f12-4f84-859e-00650ce522f9,RANKED_SOLO_5x5,BRONZE,III,osHpd2F7dE0qZza7jdPTYCBJ2WHn9lB8uU3GFMq6aj2M5-8R,56,203,193,False,False,False,False
1e48fe14-264f-4b38-9cb3-388340fb986d,RANKED_SOLO_5x5,BRONZE,III,2g02cT6LRWc3siWYm4ANn2ETrdszNZGfKIHZai-TLY-19gFg,42,216,199,False,False,False,False
fde9674e-9c2a-4f48-a4d6-30bea9088210,RANKED_SOLO_5x5,BRONZE,III,Ts3eYqkhmOtNNc_D5np39P26OG4WqvOsDjkKC3F4tc_uGB3S,75,123,125,False,False,False,False
e96e0d39-285c-4d6e-94bf-36bb5b664d2a,RANKED_SOLO_5x5,BRONZE,III,tXIyfl-C9w09sWIRK3w2kqLnlL-6knL0HDT2kQ9PLQwzItic,44,225,231,False,False,False,False
cec08541-632c-4d49-b412-98dab2e6cdd8,RANKED_SOLO_5x5,BRONZE,III,xfjfSbzC0ism0l1AclhAMla2LjOL-sR1lX1Cd032tyRnN-Yw,62,161,153,False,False,False,False
e08c2ba0-6f4a-482d-a121-0cdf28f5abc9,RANKED_SOLO_5x5,BRONZE,III,ARYgYvjaesfwg0m0HKIafvpBkGL_i-LOrObHI-n5mMC2YSIZ,42,167,168,False,False,False,False
9657844c-5189-4938-b0f0-fdf137af281f,RANKED_SOLO_5x5,BRONZE,III,gN2DwyP-xh0LnlyEL7sm43n5kFeslSvQLVj2CBA74wvnIS8Z,23,135,138,False,False,False,False
e3a91041-8014-4506-9c7d-9c58ce4193e0,RANKED_SOLO_5x5,BRONZE,III,FY-eyRqxyFLMqojhYJdjuYLzLmK3rvECHD6CLmgKaf3E-81v,53,137,139,False,False,True,False
a4e89ec6-de74-41ef-ab38-dbda144e7679,RANKED_SOLO_5x5,BRONZE,III,T04FB9MGEKR40BAU_f1EWQqA-1mhccWL9hM20ZsvU6kR1zFD,10,107,102,False,False,False,False
35170df4-8446-4b60-a52d-ecd974775189,RANKED_SOLO_5x5,BRONZE,III,RTaHwA-4zCNYEqUjA25WGaDqrS3FRzEcmnnBSBtsftPrV8-k,93,108,102,False,False,False,False
e64ef3f1-4f6d-4130-ba28-0852f07a7210,RANKED_SOLO_5x5,BRONZE,III,YEY2B12u-wDmUkDIVxMmEINVScRtW9Gx_1BqEKrd8rabBoXg,75,138,127,False,False,False,False
