leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
c7abd00b-7588-440a-8dec-8a3c10c00b4d,RANKED_SOLO_5x5,BRONZE,IV,hmrrkqg-XFywhoFQIwRBk_PFoHj0qQre3vnT0Ur3I3I8g0Vv,29,118,129,False,False,True,False
a72dc92e-6228-442d-894e-b7d31f400c1e,RANKED_SOLO_5x5,BRONZE,IV,JKUA0oI-bMWiy06l8lDl-34bdjkpjdlxOFYZ3PDtE6GFnlmo,30,118,116,False,False,False,False
51f7096b-54f9-4fc0-a980-d8e57a1ce363,RANKED_SOLO_5x5,BRONZE,IV,WXa-_f1is5ajnA1wvo14sIbwFfwAlV4V90VQjj-auexETfMM,91,117,124,False,False,False,False
a71d0987-4766-4462-8069-1753b5fc7833,RANKED_SOLO_5x5,BRONZE,IV,-8YYlGwliauydk6XyhtKkkLzPE7YBkj6zkQVpjUiGFcPzPfp,12,144,137,False,False,False,False
4d6a512e-25ce-455a-9fb6-7308491f4b45,RANKED_SOLO_5x5,BRONZE,IV,g967lqruYof6KjJzbj8FAE0v0I3tffIqyclAFOq7T72q2ZRH,17,134,123,False,False,False,False
e90e31cf-b127-4640-ad34-965256972ccb,RANKED_SOLO_5x5,BRONZE,IV,4TT9iMGICfG__Dmm0VVHem_PgoigX3KpEVIIMK9pr00iN4bj,47,210,211,False,False,False,False
20fe3ba1-fd11-4db2-b6cf-d75420352812,RANKED_SOLO_5x5,BRONZE,IV,H8lfoRIIDxUBu4eryq9AT9bg9nAGuy1ZAG7m1qYvJtirRKo1,10,163,167,False,False,False,False
286ccd38-a9e8-4769-8c1f-34a38eeb9bad,RANKED_SOLO_5x5,BRONZE,IV,5SMVrvDrbIN8BHbRcyV_bbvWF_lj97YlBWc02BicNEzNq-O-,76,240,254,False,False,False,False
c9fc9265-34e0-4b84-b2a4-cdeef28a4a5a,RANKED_SOLO_5x5,BRONZE,IV,vHjGCtu1PxKzlXv7krP4qDvAEhC2l1IO9ILkYodH0Tjot_RA,57,186,189,False,False,False,False
a2e4e361-072e-441f-be46-3558ba95229c,RANKED_SOLO_5x5,BRONZE,IV,O0VlFTGzP6zpYkjwbj6tfsFx5XUl1bw1hn8ZplJiJq6Unl9V,61,159,148,False,False,True,False
c0280a8c-cc82-4ad5-94e2-20eb59c187b7,RANKED_SOLO_5x5,BRONZE,IV,3CNgvgmAQB1qwgweNO2NrUBRaUvXO2w_ssZsooU1Mj_xmQs6,26,104,107,False,False,False,False
87c1b367-cd2f-4e63-a999-037ebb3fa76f,RANKED_SOLO_5x5,BRONZE,IV,BnIO9gfVFqJGWAPVQMdG-Pj05OUuAGMMIxbJ7xK4xriFPkvw,0,159,169,False,False,True,False
b6f355ef-49f0-42f9-b34b-16c88fff758c,RANKED_SOLO_5x5,BRONZE,IV,SUWoeZPAznTInl599Dlr1Amde6GCnfgz4gL1-j6xTFr5LS3X,31,114,127,False,False,True,True
08f81a93-a2b7-40f2-80a7-a6acf1237812,RANKED_SOLO_5x5,BRONZE,IV,xZqdUR2-IQwj33DzYLJ_SJ3Jp5QekzZNkzbDPGevRO4U5jpK,27,105,103,False,False,True,True
6aa4b624-4e09-4873-b6eb-ee322436e7d4,RANKED_SOLO_5x5,BRONZE,IV,-gKnu6LS9BWGNFJoo7PxjxCTX3Om49OrZbODIhjH6hG9gkc3,64,112,116,False,False,False,False
6099c4f5-e7e1-4674-a1e5-5289790127f2,RANKED_SOLO_5x5,BRONZE,IV,Rmk6J0AB31bsZH1hQqTTq7apZAhXZrPBEEvtsgKahEceWWwn,40,414,416,False,False,True,False
a5df48c8-1d08-4255-b603-af2ce0b05115,RANKED_SOLO_5x5,BRONZE,IV,EWc1mRsAVflXeAGAzc-S7y7rF0uBnWixtmwPiGFIRXmbXkbF,76,180,179,False,False,False,False
4d61b586-9982-4f43-94c8-285396661121,RANKED_SOLO_5x5,BRONZE,IV,45STkkuGDpPSvP8uRXg6TiNUIAcXVqfiYQbk6jRuRUscma9Y,88,122,111,False,False,False,False
511d3782-8817-46d2-a129-6406f96f1c42,RANKED_SOLO_5x5,BRONZE,IV,iocULsLBApXjw067rVNLudAJ2557Rc8mPYq8LbEG1OT9BTcK,0,108,121,False,False,False,False
adc18d06-73fd-4642-ab29-85cc45b88f31,RANKED_SOLO_5x5,BRONZE,IV,cT6fLTDVozkc0EclEPB7Dh0SwZfrVYQOePEzZWvzadZragsU,94,118,107,False,False,False,False
756fcbf7-cfb6-4156-8d30-10632a5ce112,RANKED_SOLO_5x5,BRONZE,IV,rJdu7fWV6ziZpC79Nwb8iE72_sJUjdjEI8HVwzZel791EkzC,32,151,149,False,False,True,False
e6239850-7fe7-4a51-9b09-b3fd761447fc,RANKED_SOLO_5x5,BRONZE,IV,CElW6oer61kB4jb9EHFMCWqQFnBbpRNSeFf_0z2fBQckZmRz,62,208,208,False,False,False,False
f5e61a90-e1f5-40e4-9eac-51362f61e7a5,RANKED_SOLO_5x5,BRONZE,IV,_RWZIYKVj3L7rP0sT0c1rp-3CV2Gomzt1_Ype91ROIlm_J5L,0,118,112,False,False,True,False
b0c346db-5695-4159-af94-320554582d68,RANKED_SOLO_5x5,BRONZE,IV,9TE3AsK8Q4YnR56yOVXxeg6URUZl4DqzDfIf6kevR_bYU9Ji,37,112,112,False,False,False,False
dee5e61f-ca2e-4530-b3bb-481b954eaf38,RANKED_SOLO_5x5,BRONZE,IV,tjRqJ5noBks57KwMPWqS6joO6SkR6XEyridYlZPnGu1KC1PO,57,177,183,False,False,False,False
6af76951-8385-4535-bcc2-40e0d4f14a4e,RANKED_SOLO_5x5,BRONZE,IV,zFqtEZ-B4HzUdxvLh6tG5cksPk2pUV-HfNHnlystisKU-E0s,24,113,123,False,False,False,False
6a9d494f-f3dc-4cee-b3f4-6bc05f65723e,RANKED_SOLO_5x5,BRONZE,IV,CpqKBySI0baQPp0oWwL30pQVgMJArHSLch1327KP9KMY8AER,42,154,158,False,False,True,False
8952505c-23f8-4427-b242-13bad35a5e13,RANKED_SOLO_5x5,BRONZE,IV,7_n09e0VrmU9zkg8pcNYDUNEPKnYgJ0fwjKUB70zHh4srd1j,28,104,120,False,False,False,False
ea21fe5e-bbc9-4ef5-bd1b-297fde163941,RANKED_SOLO_5x5,BRONZE,IV,0Wac8ydvCf0-dxh8a9Dpb7ZEKzEAHM_vAsH1nQjD_7zURPUv,94,121,124,False,False,False,False
affdfa7c-0b40-4419-9753-d70484b7dfe6,RANKED_SOLO_5x5,BRONZE,IV,_isQWFawf1E_pU1lSjcscpOPJtcu6jOWiSkDCdUjcAHKtoC-,0,126,126,False,False,True,False
dba93b56-508f-43e1-b542-d067d74fcec8,RANKED_SOLO_5x5,BRONZE,IV,qfsNd9a0eXczLPuNr5QxSj_qKkjrA1Ce4wtMU22hjpWKtgD_,44,120,119,False,False,True,False
b1c2a016-48bc-46b6-b918-66ce03fdfaab,RANKED_SOLO_5x5,BRONZE,IV,m23d0JU9qiFZw3I7O4Qa4dpgNpc_xZ63IhQwu-uOeImUkQs4,0,156,176,False,False,True,False
fb7953d1-a81a-458a-ac9e-7fea1125e42f,RANKED_SOLO_5x5,BRONZE,IV,Li2WBAoNxeN1LAd16aetrCQBqSUlmCrjjfIwd6Yncrh24mqX,75,93,121,False,False,False,True
f83f423d-49b5-4da0-8419-755ea1e41ad9,RANKED_SOLO_5x5,BRONZE,IV,KcJy7nR18z8tnGHFH_79sU_UxtcQ4GdyZWK_n5n5n_PLPUTg,0,118,111,False,False,False,False
47974698-5f78-4c39-8618-52669861dfca,RANKED_SOLO_5x5,BRONZE,IV,O0ICrIzOsERW0uZsFRxiJv1GWNjiQ0Valhg4r5XIKZ8nBqrj,54,141,157,False,False,False,False
8d800fc3-db1d-4df2-820a-aacace196fb5,RANKED_SOLO_5x5,BRONZE,IV,Uf6mMb8bVAkUs1PpjixXg5GSN7GAyZR83sgXBhFf-lf3EK5T,21,157,159,False,False,True,False
0a798ed8-838f-4c84-be46-f9643d614acb,RANKED_SOLO_5x5,BRONZE,IV,r6YFdxvneIy9QyHxi4zNIQ5PQ8qwqUmRo1_1plX50gV-YMoD,44,109,109,False,False,False,False
ccd81a42-a5ac-4ed1-9d21-52464df9a7eb,RANKED_SOLO_5x5,BRONZE,IV,fgXImvKRlpOgf_-fT-wEVd3TAjP0k9xiAWzOh0_ePD5Ydh9F,89,100,101,False,False,False,False
52e45d31-afba-4d30-9112-c517accb8fed,RANKED_SOLO_5x5,BRONZE,IV,r0sJL3ta0ufQ1bSQq1AncBFYOKHeevewLlkLn1HvV4GalpHV,13,105,107,False,False,True,False
a16ccd93-70a6-43e3-8204-6c4a297c4fa3,RANKED_SOLO_5x5,BRONZE,IV,J89J0qHk1J8jeKLGW5gdYr991FZ8-RGUM9UmV0gQVdhZwFtg,56,184,186,False,False,True,False
0ea63929-86ae-4866-af28-a3bc6d62be33,RANKED_SOLO_5x5,BRONZE,IV,KY3UeV_J6MAMqt9KmZbc4rN_38Wpa9mzKb1U05Uy6xcAc6Jv,14,151,158,False,False,True,True
b589045b-790e-4353-baa4-4a9840d1bd10,RANKED_SOLO_5x5,BRONZE,IV,jvyRT_pNNx4DUqTi9a4ydMkZGi-TyhBbVJbqj-oUQrFhR84s,97,112,116,False,False,False,False
f03b54f5-84c3-47d2-8f16-fd783cdb10f9,RANKED_SOLO_5x5,BRONZE,IV,Q3OxD3GrqaWVn6CofrzErMldWcUuTxtsS0pSJxCmeqqmRTGb,91,156,171,False,False,False,False
e678714e-8c15-47d1-9524-9dc47a031bbb,RANKED_SOLO_5x5,BRONZE,IV,vyqYqJ7C7jaInR5ToFCrgh_saFWBVpLPA7W0tfLFQHMLb6hz,53,175,191,False,False,False,False
86dfe2d6-4dc9-426b-9292-03a312f6ee4d,RANKED_SOLO_5x5,BRONZE,IV,7UKtS2GA0T3eGTOBDBRe2upuq_uqLtl-wqmLalioJ-Lbk8Fr,43,181,185,False,False,False,False
3a998dfd-a83e-4cf2-8e9a-5f634ad87d8d,RANKED_SOLO_5x5,BRONZE,IV,7rMGAAULElDTmPFfkiznW7J1wbjvLXRjo2H2ygecRYireO_a,39,119,114,False,False,False,False
e2d320a9-1403-4e74-bc59-3cfb65e7db61,RANKED_SOLO_5x5,BRONZE,IV,uuXuyOxNOZqmpTbKANCI6z4giXl2apoH-Wor5SGp8r0Jleqy,83,106,119,False,False,False,False
a2bc1ba3-cac7-4070-9a82-18927d13489c,RANKED_SOLO_5x5,BRONZE,IV,OW5TiOIm02xZi3xjPkVTLuu7l6gen27yZB4aBATB-m4m7ibX,0,102,100,False,False,False,False
4eef67db-1880-483a-899e-9ef81c0111c2,RANKED_SOLO_5x5,BRONZE,IV,vAAyK97cn2SOz0jnNL3Eg-4r-Vqub4Bat005N_QwKIj_f3R6,27,98,105,False,False,False,False
fa018738-5d31-4ef9-8b6c-8da9d8dde752,RANKED_SOLO_5x5,BRONZE,IV,8MF1RZdIursM1SYwQnoXzNQq5T7M3DbM6mWcz8oqQB9blkPg,52,134,136,False,False,True,False
fdf6eff6-eb6c-4b58-b858-bc208a1b247c,RANKED_SOLO_5x5,BRONZE,IV,aF88q2sPxgjW-3vtz_DF33WDyxsHHUcwV-IVbGZln2803DHp,23,198,193,False,False,False,False
71324b99-f3b5-4285-b2ab-6b9376d50b6e,RANKED_SOLO_5x5,BRONZE,IV,S90BgKse-mzpersAQ75vnOOznHhmvKbbv5x9m2rGc5yTNeun,98,115,111,False,False,False,False
9f83686d-70cc-4702-889a-c255e918eb87,RANKED_SOLO_5x5,BRONZE,IV,6hUASjIYIqhIAHE0XJM6RjIC_m6e9Xu5Icv7S2uUXyITEbIP,48,141,159,False,False,False,False
e8c2e3f5-f8b2-4d8b-9ca3-4d772cfbafb4,RANKED_SOLO_5x5,BRONZE,IV,ghWOT51gHmleBINdu6-hQx9hW7mRzMq58mo5Mx2ZEitDQewd,78,153,142,False,False,False,False
984660c5-22d5-4ff5-9940-c7c78ff4cbbc,RANKED_SOLO_5x5,BRONZE,IV,OpfeYkst-fg7lBSPc4cZU-cFGsbSUEtlK6-6YoqRf2_D5Mir,26,113,100,False,False,False,False
65348301-7442-42f1-be5b-442cb770c01f,RANKED_SOLO_5x5,BRONZE,IV,TDQVacrT6NOlJf57zGD6VsV0yAbUYzBkInp0KHrVh8U60gB_,69,97,107,False,False,False,False
1cef8f89-01b9-4293-848f-98480ed601ba,RANKED_SOLO_5x5,BRONZE,IV,Jprn8bYfrM47toJ-U41l09PYKMhlre7_ePkjzIn2lt8SASve,0,123,123,False,False,False,False
82dc734c-72de-451a-810a-b97fc18c7dd3,RANKED_SOLO_5x5,BRONZE,IV,ylUZZASqxhNcrcHShSeU01A4cKbYn9h9IMja5Kg5Y3YQXzXp,13,139,130,False,False,False,False
2fbddeee-7ed6-4f12-91a3-21e6adecd61d,RANKED_SOLO_5x5,BRONZE,IV,JljjmEm5WghH4N5QurCE9ljUl5l3Umi7piEitS1FND-yDusx,63,140,144,False,False,True,False
ae6f2e69-b16f-41ee-b236-c5f5b9b1e52d,RANKED_SOLO_5x5,BRONZE,IV,XMDxfsy1eTE2Y1N2RZSoYyXQm8QDYTUGy7IOPHtcV91esjSk,25,271,281,False,False,True,False
bf1e99cc-c950-4cc9-b6e6-f8c166553778,RANKED_SOLO_5x5,BRONZE,IV,iZoXLQnAu9Fy1ibnOwQgxtsL7a3WYGb0eyrJnYClOu57M0A7,40,205,202,False,False,False,False
d7fecbe7-2bfa-4716-8751-a404cda865a6,RANKED_SOLO_5x5,BRONZE,IV,SY4Dut15Dr9FKSE8G8nOSzSnlooRkJ4DXLNMlIL8u8tArohp,81,120,117,False,False,False,False
2b68ec33-63f4-48f2-a225-826df4cce0ee,RANKED_SOLO_5x5,BRONZE,IV,IOxXy0F1DV6m2449ilTBfyaVYUQJYnmyGdTcWcN-a_5hva8J,91,122,121,False,False,False,False
fa1b5e98-c4ed-4677-8a64-438442f850da,RANKED_SOLO_5x5,BRONZE,IV,Uqw1B0m03amEy2bPrhsKTOtiIJaqpTpDJXUTS_oroojex_qH,55,168,164,False,False,False,False
aedcc669-8f5b-416d-ae7b-6a15726c67ea,RANKED_SOLO_5x5,BRONZE,IV,zPPvzSq1zdDZETJxTwSgffEbrut4D2GVYDj3V7RRSE9CBZkK,55,98,111,False,False,False,False
2f58ca99-4590-4880-a82e-09eccab5585f,RANKED_SOLO_5x5,BRONZE,IV,jBjT915bq9MAxOYL5rrdQfi80Ciwvo0n35KXv8CKK--t_QDd,45,207,204,False,False,False,False
1631fdf6-ab70-488d-9d5c-a25253f37b90,RANKED_SOLO_5x5,BRONZE,IV,0wVZ0UKyu7A57cLu-Tjn_d8-lmZxSZVPNHClgur07P4aPmfn,42,129,132,False,False,True,False
