leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
7ab3d101-b6db-4ebe-b584-64296a376fa3,RANKED_SOLO_5x5,DIAMOND,I,X4MHn_jlnTql5sbPk1E0_lI9vuR7aEb0NQIHZAC66rgKyRjO,75,218,182,False,False,False,False
5562ec91-9017-41bc-84e0-554e9181dc40,RANKED_SOLO_5x5,DIAMOND,I,aKmxs6G12FymmkhgkAdrt_s9XzZkbayGRjfL01a5BifUxrga,23,182,173,False,False,False,False
567ab0df-8b47-40e9-8c56-3c2f009a9bdf,RANKED_SOLO_5x5,DIAMOND,I,XWptkn6vh7QKziws-mBjziJ6MXRnOe7AaBqjpuHYHSJqAZZ6,75,141,114,False,False,False,True
e8ae2cf8-e9c2-474d-b68e-8be492f1d7a7,RANKED_SOLO_5x5,DIAMOND,I,2VnteTo5rHMe4H_JdbMcdfav4Dpoq_9QAKipzUltTl7_nK_X,1,164,141,False,False,False,False
567ab0df-8b47-40e9-8c56-3c2f009a9bdf,RANKED_SOLO_5x5,DIAMOND,I,Oa6wuVJKKS_DJMbWFke9g_KwDNKEBekVKxnmW8U1JBNinCw7,25,158,137,False,False,False,True
c4c39d9d-214f-4247-917a-c89e24a5f8dc,RANKED_SOLO_5x5,DIAMOND,I,0ybaHUeZMq0VAGs9FrWJUO9P9C-5nG4n6maC7z386rHQBBOJ,14,143,124,False,False,False,False
081c8f30-becd-47bc-aa59-2aad4945c6ca,RANKED_SOLO_5x5,DIAMOND,I,03RAki7jl-oC3OTCxAfI4kDwNTStmEADEcrEXvD8MN3Gw0fS,74,130,111,False,False,True,False
7eaa275c-fa48-4b85-b3d8-4919bb6c9bef,RANKED_SOLO_5x5,DIAMOND,I,UXkHCovHmZGEQL6E9fhQUcAM0Ulll9Gezo7LdOZh7hKPUoFc,75,179,168,True,False,False,False
1e35fd3f-fd9c-49b2-9f86-a5ba2c577f74,RANKED_SOLO_5x5,DIAMOND,I,zaK2twE70ZRfXTZSSDVJ-QeXs98hwM-4-KzdBc7DZ-y2TFdq,75,163,131,False,False,False,True
1e14f89f-a230-4857-8cef-0ab5b7abb448,RANKED_SOLO_5x5,DIAMOND,I,oez3R7Y7uwFmWQtZKnlAI_GaZx0wV9e8VirW3VkMM_OHQZpO,54,121,99,False,False,False,False
085922f8-20fb-47ee-9621-1514dbe6abcb,RANKED_SOLO_5x5,DIAMOND,I,QOl5s7VvvwzBRI7yeZBP7AiE4POKCw0V7jGN4geEajIgI8x3,67,163,161,False,False,True,False
54dbf70f-104e-43e1-8f0a-00af4c2d156d,RANKED_SOLO_5x5,DIAMOND,I,Z242xNiuXNPT8jLnqu_xb4QgaITvUnB8w3UHsnoB7IDwB_Wg,75,298,315,False,False,False,False
1f4e39bf-f2e2-4a6e-8c01-82e213b1dd68,RANKED_SOLO_5x5,DIAMOND,I,AEpOVD2JbAjXna_svBkV5lXTdavovuPeGz6ZFOnTf2GhPjv4,75,142,137,False,False,False,False
3f3c1275-d87b-4b54-8b96-7367594250a5,RANKED_SOLO_5x5,DIAMOND,I,OQa-JKRTmP3MY-TzjhBeu8a-CweSXCBZEIGKzgatYA81R-Mi,22,310,326,False,False,False,False
77a3159a-6dbb-4f88-aa2a-0078636d1d6d,RANKED_SOLO_5x5,DIAMOND,I,h8BEee_ZTZjSp8kf0jkkKMJ4NN8oWeY0_0Q6_kuEYE4sE-4E,75,118,110,False,False,False,False
