leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
8608a868-c3c3-4a92-be31-02ca0f91604a,RANKED_SOLO_5x5,DIAMOND,III,l8jkEXs6jrc8v9Q2kYOjW-rcOM6LtmjtaSjoChdt3Vw7lJSK,21,156,150,False,False,False,False
27af700e-8ece-4604-a8f8-d35bafa6ff14,RANKED_SOLO_5x5,DIAMOND,III,TsUuzJgLk6LhcWqmCreFrmZVV6LgWMhZ6IMgmfHnEj5ZrsPm,96,148,127,False,False,False,False
e0ccd57c-fc5e-42b2-bd51-8be0345ebedb,RANKED_SOLO_5x5,DIAMOND,III,sFmadpzocRgdZzWJoxDLZ-OEt-G3zX3X-JQrEU8q-6h0ff8l,28,110,101,False,False,True,True
1db97782-1a98-4d34-a316-d7dbf1efed2e,RANKED_SOLO_5x5,DIAMOND,III,UnP88LKRucGTEg3RNJppUWp4Fl5V3SnbLpFKXPo1VqB4sNAf,1,153,138,False,False,True,True
91c0c6ac-559f-4cca-b88a-6dcc04e44a05,RANKED_SOLO_5x5,DIAMOND,III,Syg_hBbMLGb5FVdnI2gWjEXWDCiDid5B-C5DJ_ADJq97_mT7,8,158,130,False,False,False,False
8ed208b8-0739-41b4-a285-5622c4b9f122,RANKED_SOLO_5x5,DIAMOND,III,ASpqFYiz-gVkJswPx71GfjhlqtA8Hqp6F0_sBFUIyezXtmYf,9,313,305,False,False,False,False
495ca445-b98b-4022-9d33-e6c983893744,RANKED_SOLO_5x5,DIAMOND,III,cFmEIhCRi54PEj5unAI0ONHMRAQvPnnfMgDtZieynLc9MdtY,8,137,130,False,False,False,False
a34f44e9-dc94-47d8-a8a4-2f508052a9e1,RANKED_SOLO_5x5,DIAMOND,III,qrUqaQ0yBpqLHtGgPGq_jx8lXiUBoBDZVH6d2jgjN1dytO6p,70,120,107,False,False,False,False
f8b745c2-27bb-4fc4-9ec5-fc196fc1a98c,RANKED_SOLO_5x5,DIAMOND,III,D7F_1Xza_ldZn34xAm5nOmHnnYoUrayVvKCTQ_2lbj3CpgY1,77,112,101,False,False,False,False
5fe1adfd-3b96-4467-bc24-a6cb108d3ed7,RANKED_SOLO_5x5,DIAMOND,III,uoRIIfrwZsTR_381LOkVJWVb3lD4D08sZQmEXOa4ue_Ki0DA,6,117,120,False,False,False,False
144a61a7-dd92-4ef5-a9d9-391ffb34f9e4,RANKED_SOLO_5x5,DIAMOND,III,LA4k1xgAH5NvihElzKVRjkKq0ZIk50aER-zKEKTQ4ca4HtG0,59,234,240,False,False,True,False
1825877f-a918-4755-9c04-66452a8a6a3f,RANKED_SOLO_5x5,DIAMOND,III,aDj4lY5L0fE0fsbyGp615quFHKLDtfv0VWIY3qqz-ABrPaAx,62,162,166,False,False,False,False
