leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
93633c89-7ebd-471e-95b2-81cf3f062b8d,RANKED_SOLO_5x5,DIAMOND,IV,v0jkoNySwqziCHa2SZR3PnqzvdT--ZB801pNv3iTJVige4xC,10,152,143,False,False,False,False
87d414d4-8f83-4e3a-bd13-0eb6718cbd8c,RANKED_SOLO_5x5,DIAMOND,IV,wYY4KJXSdyFrWsDj_dmMEdIszH2hytrhPvagQD34vqKj3Gbl,0,147,128,False,False,False,False
bca7164b-ddbd-44da-b7f3-bbe8fe199907,RANKED_SOLO_5x5,DIAMOND,IV,iss5KhtmnR6q_NVHaDhTQzW_SZnV4KzWqGQyKLjr9x9L-rIS,83,116,134,False,False,False,False
37932e4e-6b58-4840-96fa-0159c46c6044,RANKED_SOLO_5x5,DIAMOND,IV,vCvc7No2Jqzdd_IC1w5t42BBu1gUmMi3FANdX9BP1P03s7G2,10,174,151,False,False,True,False
c39f047f-3ff4-4f5a-ac4b-264698dcf31f,RANKED_SOLO_5x5,DIAMOND,IV,Qxs577KOT6O42Ys6Mt_D9fxwHdDMbHtxcTZN6kHX94zWFEUC,11,171,153,False,False,True,False
35fc0784-8f5d-42e7-83d4-d59e1dd1821a,RANKED_SOLO_5x5,DIAMOND,IV,__-j-MDZQ2pJBcogvwqpdfQqOL1D8lD4E0Dma52uPAhF_wyK,25,133,124,False,False,False,False
dfa65aef-23b5-4934-bc50-e9e348d8c0a1,RANKED_SOLO_5x5,DIAMOND,IV,Xg_waEUHfzISAkKJnDtlrzAjpN84hOr7t8j3rlCMKrdskgH7,77,184,175,False,False,False,False
339fb204-1ff5-4c43-9aa9-3140905228b0,RANKED_SOLO_5x5,DIAMOND,IV,gLH3ZYHlATTRpvLaa53Ju1fqfygZ6odpTlwxnSS24erHGTK5,0,155,150,False,False,False,False
f347c94e-5f3f-4260-8241-ea6c07f2587e,RANKED_SOLO_5x5,DIAMOND,IV,Pg-cjNcBQB4mJ4B7S56YIIExyv7EdiJJtZfo6Bh_6d-OedCY,40,201,195,False,False,True,False
71bf9007-2616-46db-9d1d-a778aa17b330,RANKED_SOLO_5x5,DIAMOND,IV,nc8Ings1Vy_OJFKYsBLPA7SwWAeaO0U5kr3f_sNBa18FiwAm,0,135,124,False,False,True,False
b28bf4ef-efbe-4a56-945e-5252e848b5c2,RANKED_SOLO_5x5,DIAMOND,IV,EqpIVkBrl7i0V4tBxAOMsurtOhgL53aKooWly6Hw9zR37l24,74,226,185,False,False,False,False
8b45e580-a34d-4651-836e-8cab5c2fe4ff,RANKED_SOLO_5x5,DIAMOND,IV,6DHwK6B8p1tFOOEN3_232ZRru6M-qvVANXD0eewdjsGc9D5R,68,249,224,False,False,False,False
f62238c0-ed15-4f3d-bb03-db6cfb7d9e09,RANKED_SOLO_5x5,DIAMOND,IV,pORFNeK0bQyjycqRfeuyXjb2ByOELEBlFg9FKMPuLslJqBeo,19,106,118,False,False,True,False
3fd2f68b-4ab4-482d-9f5d-14321365ca7e,RANKED_SOLO_5x5,DIAMOND,IV,c5nehJg3NPtSw_2i59BcpLdn5p_ePE3ZZAPHuFOXVokJQpLq,60,119,99,False,False,False,False
1d8fa223-afc3-431b-8164-6f607670a0d9,RANKED_SOLO_5x5,DIAMOND,IV,yNL7NmQTzFP-cGC60CyQWCCwmDpIO4y0YyY-ONwkiS9eAM5j,10,223,200,False,False,True,True
44e09039-28a0-487c-8be0-f34310860e11,RANKED_SOLO_5x5,DIAMOND,IV,ocxC_jyBSgy7FDOktpiu0JqHgJ3X8nqKHG4-VhWgSXiUz2AU,0,97,108,False,False,False,False
d5c3f18f-f06c-4bc5-849c-4ce5635e80aa,RANKED_SOLO_5x5,DIAMOND,IV,DtEcD2aRAHOVb_CfPNgDhEfIzJ5_4ZA8IG23009w2LWu6HxN,10,166,170,False,False,True,True
01a55d46-e34e-477f-817d-e86f1e9746ab,RANKED_SOLO_5x5,DIAMOND,IV,yMy8_LzFzBqqHOiG3uicgVEsr1jhVCzsUH7f4sJc5xRK9BxT,23,211,195,False,False,True,False
f56d55af-afcd-43b9-8b37-5e3495d447d6,RANKED_SOLO_5x5,DIAMOND,IV,rTWsc_wG8L_-StBK2TY_U1T24A7T3Zc2tVeJ2UTrp7A00CYv,40,150,135,False,False,False,False
d0e3af7d-5be4-48cb-a1db-4aa3c117c140,RANKED_SOLO_5x5,DIAMOND,IV,nCFsZpccAhUS0ISPtQ31VmKpXwe0zuugoQPlopG3x8hRz6wg,85,149,126,False,False,False,False
b98c3261-cd07-4dc3-b3c0-886f1f6e2909,RANKED_SOLO_5x5,DIAMOND,IV,3YsR4Hk-zyl8DjWmbAC9ILyXiq0VdAJ9qfhS4GvN4YMIJTEW,21,130,112,False,False,True,False
637ab97b-554f-4bc0-9d07-b0a9fa0c8a46,RANKED_SOLO_5x5,DIAMOND,IV,9rccy6COiAwzb_QaZO_Wfh3cpuP67o-ZlgXg6kulCX59r2w4,16,120,94,False,False,False,False
00ad6fd8-971b-411a-860a-a84b3dcf61d9,RANKED_SOLO_5x5,DIAMOND,IV,XZ72HjCqJKUNM-lXWIfdACh4_1p0g5gAAL_HiXmI_K7t24ZQ,0,169,168,False,False,True,False
96fe4c14-1843-4362-938e-eac49f426257,RANKED_SOLO_5x5,DIAMOND,IV,G0to_UobiNVkiGSMNTBt1vPHk280FgpXCc-aFlbv0m_FbBlL,1,136,130,False,False,True,True
d2e6db83-52ed-4bdb-a014-2ca571bec2b0,RANKED_SOLO_5x5,DIAMOND,IV,BYfB6CZqVBR9vGxtxf4XouErMxaDAZiOjaL9-7KQ0opggRZ3,65,208,223,False,False,True,False
bca7164b-ddbd-44da-b7f3-bbe8fe199907,RANKED_SOLO_5x5,DIAMOND,IV,I8CHSmUixrrlb1-Vq6aFg1ZLX7j41nhARnFPlC_wCWzD8MIs,97,161,142,False,False,False,False
6decdba5-28d5-46fc-8d50-5c927a93ee22,RANKED_SOLO_5x5,DIAMOND,IV,k4fz038tMud7QOsSpdjzNq_JwkBbp7iLqXDA8d7c00W7SZd-,20,170,155,False,False,True,False
f62238c0-ed15-4f3d-bb03-db6cfb7d9e09,RANKED_SOLO_5x5,DIAMOND,IV,QdrxsSRYzw8pRaBw_wiDqr4R5RUT3d2hIxpLUEPQGgIZWjsa,19,111,114,False,False,False,False
a94ed5dc-3ec5-47e3-81dd-8b410df503a8,RANKED_SOLO_5x5,DIAMOND,IV,6QJfAtdCuGNxTlE584eqQ9ZTaCEWo2taMyXeNL-PagFyhUti,6,146,151,False,False,True,True
d08f4e2d-78d1-481e-95f3-26a86f40d868,RANKED_SOLO_5x5,DIAMOND,IV,NR-M44HDmYadG3B2wNNTiRQCS3VrbrWbEA2MIXP-aVGtaw7p,18,119,123,False,False,False,False
b0b1fa4f-0f4a-46f5-979a-e3dda20736a9,RANKED_SOLO_5x5,DIAMOND,IV,uEXWk9J4s5HLlKcWGPqE32ByCrutw7fvkVKYkM9kG42nN7Zr,43,144,137,False,False,False,False
b5c16437-0ab4-4143-8135-5fcd70239b6d,RANKED_SOLO_5x5,DIAMOND,IV,P8WWfV6nST76BMyCL7f_WXBnR5yfxWDflMDcdiy5TCZlJkjU,24,103,99,False,False,False,False
2c2aeff3-08a7-4814-bd1a-7b015a74eee7,RANKED_SOLO_5x5,DIAMOND,IV,GE9onQo6kubZt36iouedzeEhs8CUglY47sYSIPxolLCZ6mmG,69,191,169,False,False,False,False
1d79b32c-7285-4ae8-b281-43a98a395fd1,RANKED_SOLO_5x5,DIAMOND,IV,QDl1jM12FWcEHVy0djpdwbSe-Kl-cxuupgFNWOs9KQQptTCi,19,102,111,False,False,False,False
22dbf88a-7c85-4cd1-98cb-f21adb74ba14,RANKED_SOLO_5x5,DIAMOND,IV,n-fT-QRUHOtQxTbeuBt23HSQaPvDQYrapjgS6o-hZGgavNRO,48,175,150,False,False,False,False
7cd14084-1e2b-4193-b15b-03c099644894,RANKED_SOLO_5x5,DIAMOND,IV,f1J2o2-SiG8maYFjdbygikvfKwTRI7knDUhr0suIXoFTHIMf,91,335,322,False,False,True,False
9fe324d2-abd1-4bb4-a0b8-6aadb0cfba60,RANKED_SOLO_5x5,DIAMOND,IV,zbbc7tsRdUKT2XHc4xf34SUgZJTtZc3x1ApO1IP6Q4CZN8c6,51,185,197,False,False,False,False
8fb9e2dc-a640-4947-80e0-5167ca9d9be2,RANKED_SOLO_5x5,DIAMOND,IV,NrkJzdCjaB6wZvADn1pE6Ba2G6BPtV0QtFt7XwK_c4uYLUCL,4,96,108,False,False,True,True
f102d85e-14c8-4f80-95e8-d5e33e5a8a26,RANKED_SOLO_5x5,DIAMOND,IV,lZcQ6en1g09Otq3JAC1Wp2xg4XfDNr-M2Z4poyEN3y9FPcqL,96,149,141,False,False,True,True
ada99466-ab60-4808-9fd0-56a62298b5e8,RANKED_SOLO_5x5,DIAMOND,IV,c6b_RIK-VuE0GbSRirIWz3j9m00ZxPpYwuJfhBdvw09NACUb,49,246,221,False,False,True,False
3ecdcb97-52f7-4159-b858-dde08e3c12bd,RANKED_SOLO_5x5,DIAMOND,IV,1-1Exf1nKtAeTsOz9oUL9SL9Va-j_9BDvxkCh1n-R1zLqhwR,0,104,97,False,False,True,False
d9cb00d7-5240-42a2-b13b-0c2ffe9f0f48,RANKED_SOLO_5x5,DIAMOND,IV,ao9pOIln_yAqMb4qh3oG0kdgVl_IcIwQXvRqvFNkDRKlu0ME,19,119,90,False,False,True,True
30e944fd-04fa-4961-85ff-f77cc5ac07e9,RANKED_SOLO_5x5,DIAMOND,IV,jPxIEh5piTDk1NvizvDVyUB1EIvj7lxhkAmZXblNcSkNGmxE,51,110,108,False,False,False,False
7058e585-04f0-4be4-a63d-8e43f38dfb56,RANKED_SOLO_5x5,DIAMOND,IV,VDKQhNMjbP2Hr6Rj_nMiheC7BEBb3Rtbcjhg38L3leapOu0T,60,160,143,False,False,False,False
14f90bbc-4a50-4bac-88ca-58d595913032,RANKED_SOLO_5x5,DIAMOND,IV,Ih0pvEoNHBnUYn6t_EQ8BLRoh_nHQL3szuuVkjNbXd0pjBDY,0,313,315,False,False,False,False
ab0bbd8f-3027-4cb1-b8bb-b1768d80ccbe,RANKED_SOLO_5x5,DIAMOND,IV,SRUHuJR3wopjg4eM93fzqQAK5Go1f0PEXzOuqknfqLa0vjaG,15,189,191,False,False,False,False
bc88be3e-f79b-46d7-bf27-4c195f716232,RANKED_SOLO_5x5,DIAMOND,IV,_eiFxqlw30OOIsfc8vKm2i7waNerWH-9_6wqW_QCHK2EhO-b,19,294,263,False,False,True,False
8faa495a-9416-4f02-94ce-1b588a3e7172,RANKED_SOLO_5x5,DIAMOND,IV,zbu4vBC52K5NSY1iy70QOurhDyDpWHbbaosXiXReASKoof1x,2,373,392,False,False,True,True
