leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
be4c7d53-09b2-4e02-a3ef-5554f29a3425,RANKED_SOLO_5x5,EMERALD,II,HrBYeiRMCjXUUHF4CWVqeda-8kUPIGrzYg7mCVx7AC3fC9un,57,164,139,False,False,False,True
cb71c903-7caf-4322-865e-1bd2662b7910,RANKED_SOLO_5x5,EMERALD,II,sY03jezTQP5OrJR8w36wj1yTBoz37SM9eEpI_BaH6lGKcWFA,6,148,137,False,False,False,False
909c540a-2043-47d1-85da-7696996513f9,RANKED_SOLO_5x5,EMERALD,II,Svo0Rd60N4Vi6frAWGU3p8NCrffTg-ChdYEED2bH3D24RALZ,49,158,169,False,False,False,False
cd87353e-9120-43ce-9eb6-d31a80a89386,RANKED_SOLO_5x5,EMERALD,II,IqlET8l-svTy2koNEgh0tSaZUYDhI6R8ZPSrycXliaoD4Vxy,9,278,293,False,False,False,False
b2267c46-f3f7-419d-ab7b-8ad680c65f3d,RANKED_SOLO_5x5,EMERALD,II,IbzVLePJw6ZbnUK5jFVsbBiE5qJthPdKvclGZ2FDG3kBDEwI,78,283,281,False,False,False,False
01100a40-cba9-4e62-9e6f-98e646d6d1fc,RANKED_SOLO_5x5,EMERALD,II,DN8VrmpK3j2vT2uvwkIOxbiJfJBdeG5EEymVf7VyyH2Zib-x,50,160,152,False,False,False,True
297cf15a-717d-43cf-9d4d-ee0765c1c305,RANKED_SOLO_5x5,EMERALD,II,Q-eZh679UZ5zOgVyMc6lthFozJI1z9_p3o2Oae3U0m967Uef,45,146,142,False,False,False,False
1f9cf5cf-c2b5-4034-815c-2e796bf82daf,RANKED_SOLO_5x5,EMERALD,II,4VFeXd_pr-V1T8GNAregJqycJLTYsI6GISJG8DhUHxJVwCXh,8,154,163,False,False,False,True
668330e2-3f43-493a-9fa5-8c2e96faed2a,RANKED_SOLO_5x5,EMERALD,II,EsJYYcx8Tm7IEutvyghXMymUYPxf5K4PjWOkfWa7cb0M5q0k,41,120,127,False,False,False,False
424e3517-1872-42b2-9ffa-caf52170e373,RANKED_SOLO_5x5,EMERALD,II,nxspTL9PyPI1kR5j4BXFjxdFI1XZIaxnSsUhsA5bR8QXcu2B,69,141,115,False,False,False,False
dfcd46db-cbd7-4e86-9d5a-2f753da4fb64,RANKED_SOLO_5x5,EMERALD,II,JlHW5FPizJ1IskySgLpkhvJlAV6vjVh3n6bO8QSW43JNPXKh,90,101,101,False,False,False,False
71d0e14a-f884-41ca-94fb-44bbe9ea11e2,RANKED_SOLO_5x5,EMERALD,II,lFsU9Zk9BAJU9CusD_OIKrSKP7Zk06mvIrj6yvedyyfLo1j8,26,146,146,False,False,False,True
7e6a253c-133f-4aa7-b58a-2d41faa4da2a,RANKED_SOLO_5x5,EMERALD,II,gglB7Eby1O8FZYBRL_JbZ0jK-Gn1rL-1uL1JfvvUgAw2HWDy,37,322,332,False,False,False,False
129252fc-e90c-482a-9f26-c5abba550a47,RANKED_SOLO_5x5,EMERALD,II,QhGvhZ8jWkSl3iXBXiW9Vz6o1SmY-mkfuZXkMrbhbmUYEcCN,26,262,232,False,False,False,False
8b8af35b-1847-480a-8405-501287fa295d,RANKED_SOLO_5x5,EMERALD,II,GxAmEOtTacjJlKdH7ru2BU6ZTmKwA9K58tgIsff6bekvHNDs,0,98,111,False,False,False,False
1542d951-f8f3-4f2b-bd17-fe5ba92a69c2,RANKED_SOLO_5x5,EMERALD,II,8OKD0GG01m22x6Mdpgglbu-aO00mzd8MRwDnzGHNFgf-B4SP,83,101,105,False,False,False,False
f3ce4218-005e-46b2-80d3-2ad53415d92b,RANKED_SOLO_5x5,EMERALD,II,wLH6BxMXxZzbW9pV0K_jF_zD1NPu_1iUBcF5tz92MJppj7ol,45,222,222,False,False,False,False
6b1545a7-c4e4-4fbb-b447-c58913d90d69,RANKED_SOLO_5x5,EMERALD,II,j4I2Wj6S8OH4Ze4KK81h_5fjua3VeTLA7VnHwXkMoRU-1NHk,52,118,119,False,False,False,False
826066a7-0ccc-4c49-9926-1e10639d0b15,RANKED_SOLO_5x5,EMERALD,II,TNURFAzZneEkgKs2OTiP6mefy02-WM1lalD85kKcg8mIJARM,65,238,244,False,False,False,False
acdab93d-917c-4dd6-99cd-14ae15f62c08,RANKED_SOLO_5x5,EMERALD,II,fCs-zS1TzXkkxlyI_z1oo1K71V4feCdyEKB3fD0BiQzp9m7A,98,190,191,False,False,True,False
02129dbf-15aa-426e-80c9-a4486edee63e,RANKED_SOLO_5x5,EMERALD,II,lu1ba_5idMjyVfDn_Z2xPeWGh-sRewlg4M9W3LgVbMjstzCL,34,164,156,False,False,False,False
d41f63bd-15c9-44cd-86d0-1f8a16a64fcd,RANKED_SOLO_5x5,EMERALD,II,aJoi3z7u_Q4nM1xlJ_c-S3N3LtbYVMdXbGEnpDgRfpKPp3_n,84,162,150,False,False,True,True
d77653b2-73a3-4133-88d9-e5b98eae0c76,RANKED_SOLO_5x5,EMERALD,II,3MxjmumQbMquqRPi8u7-839qKTWz-JURYBRN2Nx9uUfIujYe,36,108,107,False,False,False,False
c994508a-81c1-4413-b8d6-67597faf5a79,RANKED_SOLO_5x5,EMERALD,II,0XSs3VLudZYsa3yS-ECwmVFTPMc0QHNNdI_PlR0yfRRzqLgD,55,147,135,False,False,False,False
48044fb0-d7fe-4126-b77a-eb231b9ce5fe,RANKED_SOLO_5x5,EMERALD,II,QJ17FU5SebgeadclGHaDnv-sK8IkWRbhPGy_N0q_wSKZboCM,16,104,114,False,False,False,False
c422bd31-ee47-4683-a8a9-229f8afbc970,RANKED_SOLO_5x5,EMERALD,II,zJ-gqwYsOJHQq5VbBgG4n8yx-6SUy_Xazd0ZPdjFV5SSv25w,80,179,168,False,False,False,False
fe05a0c4-3b5e-413f-b6f0-3c58a2190dd1,RANKED_SOLO_5x5,EMERALD,II,iFeKuLqYe_o8Ldh8Ya1_BoxbNADLWXafB0HktNQaspDKD_jF,1,164,165,False,False,False,False
11cc39a1-3564-4c8b-979d-349dd293e352,RANKED_SOLO_5x5,EMERALD,II,LlIgzY51qpSP0QqarSHLdvhZ3a3UMwLrIfE04wJOba7Wx1ZX,1,114,112,False,False,False,False
fbc741a5-a418-4cbf-a06b-8dd1c90a275a,RANKED_SOLO_5x5,EMERALD,II,ESxN4QLE0OtErNckUDRaZ4wuHZVW7fYG2vB4f7o7oTSBojbC,67,131,125,False,False,False,True
ad39c339-8bdd-4ff1-b37f-a4cc818f12a5,RANKED_SOLO_5x5,EMERALD,II,M6CNK6iqXcws3MMYFHBnpEK9L6eWD3WiTFZSkXWs-1TzoeQ1,89,178,197,False,False,True,False
3bdbb01b-4c6c-4b06-8257-42ad4a6bcb2c,RANKED_SOLO_5x5,EMERALD,II,-3g-5fzlo_-9-YmO6sFdK9PiYuYFURjEF0cSjO7MhKu6JL7U,87,110,92,False,False,False,False
c2394f41-a973-460c-a68e-136b9b320552,RANKED_SOLO_5x5,EMERALD,II,7I-LzYTb0wk7z9DooA6XXeVH3y-l9QEdA6UG0LEVjRw5nMan,90,122,123,False,False,False,False
3db90dc2-3574-4e20-be39-368ef52564a3,RANKED_SOLO_5x5,EMERALD,II,sY8trQ_hCsEfedoWuvfTsKrL3Dak2QLhVHVa_o4Md6FCsrZy,34,162,162,False,False,False,False
e9718488-85c9-424c-be6f-0bead04f9cb4,RANKED_SOLO_5x5,EMERALD,II,j8jAvKUATvdT8Tb_Bx3QI3j3ax7E6-OKy6u75yJYUhL3r_aY,57,115,88,False,False,True,False
c2301245-f34f-4001-a025-5ca0c8e1940c,RANKED_SOLO_5x5,EMERALD,II,4SQ_cL8Zi4djFywkecKgHcSjQBVJnYQP4uF_bv57XAc97hOY,78,171,178,False,False,False,False
febabb49-3619-4d4f-9297-2919604d2e96,RANKED_SOLO_5x5,EMERALD,II,61A7X0H7DYwvJO6ZmNbdfNWqn1jKEAGTBvq9_-2el47Ec9ss,69,166,159,False,False,False,False
06127f3b-c6a9-4e93-8db8-dcc2e37c0d00,RANKED_SOLO_5x5,EMERALD,II,ZKotlSH3xPweBbFd-BGUBjyPrWe1IBoHQk1Kw6xBkvAZzJ2m,62,121,113,False,False,False,False
ac9c9d03-8b50-41cf-aa90-e7eaf3ccdcd5,RANKED_SOLO_5x5,EMERALD,II,qvmTJm_Oph24JPU7wd9C1vET2z2RRkfLo5h5sxda19B6mrz5,59,221,216,False,False,False,False
4438c2ef-9387-4f4b-bdbf-03fe9f4f531e,RANKED_SOLO_5x5,EMERALD,II,saSthTHftOnBPJG2XcQMKY3G40IVQGJDq1HE_uqaQW_Bl9Bz,37,110,112,False,False,False,False
90f06402-7694-4175-8065-fc042cc7ed54,RANKED_SOLO_5x5,EMERALD,II,R7qYvF1BuWq_3wDRu5kzHonkLI-_TaOr9xSRwPAg2Tec1Qwp,19,269,264,False,False,False,False
7edf7a77-21dd-4ca2-a020-268e678ca7eb,RANKED_SOLO_5x5,EMERALD,II,LhKaKDPuHqXIbUnRR-refMka5HWlnEKlbAPnDywnGD_g0_5x,62,136,122,False,False,False,False
