leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
b976a70a-cd59-4585-a325-63b284469593,RANKED_SOLO_5x5,EMERALD,IV,fs4uLIeYEoXujiSFalsC_NjJ2r5JgJM9yArFUvZIorT8c4mu,0,90,117,False,False,False,False
e2bd600b-3b67-445a-ba7b-d6211639f058,RANKED_SOLO_5x5,EMERALD,IV,XOSS_a7NRd4kUw9WFx-tvcGMHstvFzZY_c96w5rjtNa2nyZK,35,113,103,False,False,False,False
7d935601-1704-40ea-b378-3b9d78b6ddd0,RANKED_SOLO_5x5,EMERALD,IV,uXLcxLeh3fh8AvzWxWI9lGHDuHR3qD_GdTF62mJSID1KGIZX,19,120,90,False,False,True,False
9dea4cd6-6a0b-4589-b469-5d68bcfaf6b9,RANKED_SOLO_5x5,EMERALD,IV,d4-R-XNhmJlX_5P4zkLsLxRnnDqmOQw9i-sJ_uEHt0AIxm2s,48,182,186,False,False,False,False
2cd89e88-3f87-4ee8-a5a2-e396aa9c1c37,RANKED_SOLO_5x5,EMERALD,IV,t1xsVMsQETfiEki5BLQ6zGufeMoe2KznxMYbYsX6fQZzHD7H,0,103,99,False,False,True,False
f3197a97-07fc-4696-aa97-8ccb44099e49,RANKED_SOLO_5x5,EMERALD,IV,Kt0RtlJD2rqRsEZCkE15WAmveSzLFPl3NCRsqnH32iO_B3lV,48,115,106,False,False,True,True
b7a5d0f7-20c1-41fd-8e8a-cdae0cfcc2ab,RANKED_SOLO_5x5,EMERALD,IV,xf3OCiLxO2MCKWxAv8lJEzDtUviXuvK6p_2zX14GrWJjOmyf,20,112,110,False,False,True,False
c3cd53ff-45e8-456a-8bbf-5eb672922050,RANKED_SOLO_5x5,EMERALD,IV,AgTYGqwX37Bby0_U0iTV5C08PKsM30WKC7mZy2F14DGbaO6J,84,120,122,False,False,False,False
15c9898f-5328-4ee6-85a6-1848b7df4744,RANKED_SOLO_5x5,EMERALD,IV,XIVCJO8GwQbJAtz_wk5aY8Y1YJSx91RjHhMSc4M59DtA3hgV,14,213,220,False,False,False,False
0e168d3b-1f62-49a6-9f61-fc6fb65c7b24,RANKED_SOLO_5x5,EMERALD,IV,cBtXPmshdgu_rOYQc38zxW5DmM52jTUB7p79Bq-2nycwIBFI,0,154,172,False,False,False,False
