leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
1d7fa550-2805-49ca-8b17-e30a107f9ae2,RANKED_SOLO_5x5,GOLD,I,qQg-qsloyOw83NA12ap5YrMpCcLcuKIVCe5gDsZsaUaBDJ50,75,147,147,False,False,True,False
a68a7e1a-0a99-4d04-9469-bb9656ff5a52,RANKED_SOLO_5x5,GOLD,I,PGPTTZohndJKBf9DjVWcdEcWFeChQTxco56kN2u3P2JYPJwU,1,146,154,False,False,False,True
acd43a81-c3f6-4eb2-b0de-c71f7d52654a,RANKED_SOLO_5x5,GOLD,I,bVbdKbGSpKulbcJBtMjs76MhVlH1SPV88EA7FScl3dmuXuek,41,295,292,False,False,False,False
8c58d679-1b37-40be-8a48-3b609a8bf4e4,RANKED_SOLO_5x5,GOLD,I,ekCkYYzKSPAuKINNjc665j1uOmNeGcKfl-6bEGiroGr9ev_e,16,107,103,False,False,False,True
e517e02a-3690-4d90-88c8-4fd6f83d584b,RANKED_SOLO_5x5,GOLD,I,_662Ff0mukI0EHzwmq4ojIQmRMjmxe2IToix94NtpIeoALwX,90,242,232,False,False,True,False
b071309b-55a9-4421-b6dc-bff7730d97bd,RANKED_SOLO_5x5,GOLD,I,-7RWJyurWKzGNPRv3tezz8uXBCkm7ndDYviaNQYLMwvLu_Ao,25,211,209,False,False,False,False
9fe17f69-321c-42a6-bc7a-14ab75654acb,RANKED_SOLO_5x5,GOLD,I,91LbJ9mdhIGSbcbf1ppJE1rIH7zON6_WVNnMuPfWbAVqFKg6,70,178,189,False,False,False,False
709bf51d-8ad5-4968-bf40-ccdf7244fe37,RANKED_SOLO_5x5,GOLD,I,GTK-9_7-h7sU3sflLv86ZHNg_3HE0JSfph6J_L7X8nSFbWNX,41,104,109,False,False,True,True
bcf5abbe-3c64-41da-9ecb-4b8824ac9da2,RANKED_SOLO_5x5,GOLD,I,Cu1TaAuFb0ktzN1EZVkxRbTk1gpGTL0b7k995N_qm_JPSlx4,48,158,136,False,False,False,True
174289eb-839b-4548-8272-12b89449f5f2,RANKED_SOLO_5x5,GOLD,I,JqjigPe1VnVzRyWbfjE0fyk-e4sMttYCVxsHsT688q7uQYAe,75,135,133,False,False,True,False
46e4ee05-47fd-470b-926c-6085a5f86497,RANKED_SOLO_5x5,GOLD,I,sp3ezfoX9X9N3vSzJdaE0OlGZKf5NI87CC7XVUEUPMNKDQ1R,55,140,137,False,False,True,False
10c2e8f5-13b7-4d69-8105-3e27cc70ee05,RANKED_SOLO_5x5,GOLD,I,XpnG4ELZRcUpc6U2p-dwbaRkOykPBCQ0BB3bm7AErGPl26nH,29,104,113,False,False,False,False
28bbe033-a955-4e7a-917f-9d03effa8ca2,RANKED_SOLO_5x5,GOLD,I,zCpLEhY1nLfkmmMMfrY97SHVNCHaPMVJGopPpdzrAI2ce8Jn,44,168,154,False,False,False,True
d093a1c3-5296-4027-b80c-3fb7853571ee,RANKED_SOLO_5x5,GOLD,I,bc2-57me-SZflVNHTWo4tH4StaeD_EAxJCnBnTlr1FvCvgCg,9,118,113,False,False,False,True
076d5f9a-8e72-4820-b5c4-92744f158603,RANKED_SOLO_5x5,GOLD,I,sEjWhp53YB0SblLpYTuGCzjZ1bBpO2cQ761Ne-FzBZSG-DA4,77,138,126,False,False,False,False
36746e30-9dd3-4dd2-b134-0ca02ce0a7c9,RANKED_SOLO_5x5,GOLD,I,iqWmJT_2viUrxgdcuLHN6oDhoMjD9utF8mDjZJVReYneN8MV,46,266,236,False,False,False,False
a11c3c41-afcd-4b17-b8b4-2320505a8e01,RANKED_SOLO_5x5,GOLD,I,XPeK-JGICLfvCDWAoEklwt8NLFtdEuMAqcXnq82SMva0Qkqu,59,246,239,False,False,True,True
3668abd4-b4b5-4032-a655-f3d1909e396b,RANKED_SOLO_5x5,GOLD,I,9nJSdNZDi3RKqrS4_ysl_lhg9aKmA8p6vJ03KYQ4qE9UaPwA,68,113,117,False,False,False,False
98fff0b3-27de-4694-9c4a-3fa5b0d6ce00,RANKED_SOLO_5x5,GOLD,I,GoqTm2JT20_mU8q6lago7iMOruoTf85srh0iUpYbRa__PIae,47,122,121,False,False,False,False
3d343f25-a00f-43e2-b4e7-b67c0d2480ab,RANKED_SOLO_5x5,GOLD,I,VDweXbnrfLReH02q8WoWZIZI9dMrRY7f2dx_qHwqy5cEPYsy,3,108,104,False,False,True,False
4cd066fb-a8ee-4c48-ba78-a13a84d8baf6,RANKED_SOLO_5x5,GOLD,I,3-RlR6mTRl8pQtdlwKZWBBe2z08dT50xS60l-fp_PpDA1YwH,10,137,133,False,False,False,False
28261a2e-927b-480c-9619-c641653a1eeb,RANKED_SOLO_5x5,GOLD,I,JwPZxr7n9JVrL5dnig5INKwg5erTOkAfyCjJTECNEUg8wwP0,47,130,130,False,False,False,True
dc3893b4-f7f6-4ea0-84e9-391b3d110a5e,RANKED_SOLO_5x5,GOLD,I,MCqDYyZC0xd3CU7hgOrK74-F2zPOOjdqklkVwhophaX5wdec,92,171,160,False,False,True,False
d3d055ef-c42d-4983-960b-11277a2eefca,RANKED_SOLO_5x5,GOLD,I,fvRNvIf6kkeiQTH47ieKj6f-4dRvadGs_uaUjTUwVrvNrCp9,57,171,150,False,False,True,True
