leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
bd14c75e-63ff-43b3-bf0a-c0bd5947218e,RANKED_SOLO_5x5,GOLD,II,yGaBs5oLt-upjy2ruSu90FmIvTJl11zUWDG20QG_bwAFk5Ar,55,170,154,False,False,False,False
83576173-4225-4538-91d7-e31f56cd4ff0,RANKED_SOLO_5x5,GOLD,II,YxP6uTW_zQ1Voki7_2khtKXBdTGdotj_xAd19Qp9y-RPQ0eh,44,159,158,False,False,False,False
121c3ccd-743c-4ae6-9ff7-50cf167bd59b,RANKED_SOLO_5x5,GOLD,II,t4rc6-uHFzKhDnCovHuhAe5RhtLmMQ4PRR6lhyDTBUT-3PyZ,73,192,195,False,False,False,False
6c0b7d13-31f3-4be8-b02f-e1ea10a62a84,RANKED_SOLO_5x5,GOLD,II,BNIvGo2hhwtrSk3a01oUtuehVfHOslSYDBZt-rdO2yUXT7ti,10,117,124,False,False,False,False
b947ef95-7f89-4d66-b83c-a9897735bab6,RANKED_SOLO_5x5,GOLD,II,47hga2FId9WcJWaGiBmp-gqKVh-_dix5NZDnJyH1cj683WQb,25,126,118,False,False,False,False
3cd08f4b-1894-4f5f-abab-ab1e9c5dbdb9,RANKED_SOLO_5x5,GOLD,II,Q14N-bc3MbYYPtuUaTkzs5NDes6WX-01Rd9re88FCSrBSvgG,26,111,116,False,False,False,False
292efc86-86fc-4f29-97b1-3740c2d4fcc1,RANKED_SOLO_5x5,GOLD,II,Mk8Dk9faRKfOBFOpZbGoay6qOYQep0C-6x3i-swJVPc-KGRi,8,103,100,False,False,False,False
5822201c-2a4f-414a-ac21-876e25eacd12,RANKED_SOLO_5x5,GOLD,II,LLTwY-TS0H3y3dFlxZRuiATIwzasSaXVOigF6a8oTcGCQQ-9,28,139,113,False,False,False,False
08df7aad-bf2f-44fb-9af1-f878c21f9d39,RANKED_SOLO_5x5,GOLD,II,_rLEg8Z-xy1MB10U5hruBz9TTCzJKH3wCbaS4z2qBXDEpgCk,16,103,110,False,False,False,False
5bd44ed0-ca0f-4784-96fd-fbfcbbc49885,RANKED_SOLO_5x5,GOLD,II,F0QQECTCr6HuTd79DpWYpliQ0uWEbwpsaiVHZjVziK2a7FCv,21,125,113,False,False,False,False
1b48ad94-3280-48da-8cf1-272f397883b5,RANKED_SOLO_5x5,GOLD,II,DpScHnFN-UgjnAusFFo7y4WAF9BQEmcXz8hqKF-pUYTQDdwJ,65,139,133,False,False,False,False
3ce601fa-03fa-46a9-8565-ee45111f9f38,RANKED_SOLO_5x5,GOLD,II,DFPi2ZEhfDuiB5nOxp9hV7Vlc7vRR2AiPDxF745Ti4zgpo9H,31,124,115,False,False,False,False
8a27737e-726b-4dd3-b3d5-91e3930446ef,RANKED_SOLO_5x5,GOLD,II,F3il1-e9fr9Gvhy4qS4ORderFuhbfR7sfIc42Ph0u5Jzd39b,48,177,166,False,False,False,False
a3baf596-6604-4511-b35a-fdaa5ecc1f1c,RANKED_SOLO_5x5,GOLD,II,CjSG98EpomDYfCeFVZFRT_0P5jH918LvaEbMtWFCR6p-a9Gj,53,207,196,False,False,False,False
25a962a6-f123-48c1-97fa-c74e7934ce00,RANKED_SOLO_5x5,GOLD,II,PTLEOohU6albTJv5G6VqAbQQtVHb2B0d5jVhuIUh3V268IcI,97,141,119,False,False,False,False
