leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
60a1bfe4-45c6-4f69-86f7-35039e31e68b,RANKED_SOLO_5x5,GOLD,IV,k0oBJSxiK16yrX5-J0cnR0Oyh0WhuIyShf7grKX2u2T8hSqp,0,117,121,False,False,False,False
849ac629-10b4-412b-add3-7d9115aa97f9,RANKED_SOLO_5x5,GOLD,IV,8jmYsK11Mh7spevkullVrJ7NgMupR3QbxIFdxBmAHppGN3G-,15,107,109,False,False,False,False
0e7db850-113f-429b-9344-c23f58ff88bc,RANKED_SOLO_5x5,GOLD,IV,uSxthNydQH_Zka5UPvRZi1m5Qp5dloS2lpo2w1OpAEmB7xBU,98,182,181,False,False,True,False
d6e30aa1-3680-4990-852d-4d0b8b10ad5c,RANKED_SOLO_5x5,GOLD,IV,DOUPBJQ8y7QIRZl654_JKFpxmvtcEGrllH-_ZMWtO1JCYBYa,64,112,123,False,False,True,False
548c59d9-c24d-4eb7-acd4-96ba0133fd6d,RANKED_SOLO_5x5,GOLD,IV,0tWcE8LLhWu6UYSYpDFarUUt66eLT8c7UEyaRBPIT5pvtTtw,63,335,334,False,False,True,False
e1d5a191-1630-4ab5-b398-c6a23f3085d5,RANKED_SOLO_5x5,GOLD,IV,6magfd0hfck6pLjIzMp5VYpP0egDACCajYzJIRWq4toAObAV,44,131,132,False,False,True,False
a2a7dff2-f741-4d6d-9513-9a66653e9b73,RANKED_SOLO_5x5,GOLD,IV,J5wiUUcjX0qwsZ8gEMNIkINVwmMGHs3JFeM6dX6MoBZTSYDq,87,112,120,False,False,False,False
c3acce66-7a3b-45dd-a927-d905185d7d72,RANKED_SOLO_5x5,GOLD,IV,VKay2TlH0qGraym9O72QMywPV7_LSH1bh1fSPusSZMz8x8hu,68,114,114,False,False,True,False
1d7fa550-2805-49ca-8b17-e30a107f9ae2,RANKED_SOLO_5x5,GOLD,IV,qQg-qsloyOw83NA12ap5YrMpCcLcuKIVCe5gDsZsaUaBDJ50,58,170,176,False,False,False,False
66dd8f96-1705-45d4-94f2-d7c04fb3e7f7,RANKED_SOLO_5x5,GOLD,IV,IpAFLEZN8tNai0rZ0cLPP-PN6P3s-NlGGth1xTymsBusPIUV,26,177,183,False,False,False,False
