leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
e0194fbc-9014-4347-b858-398754efca8e,RANKED_SOLO_5x5,IRON,I,WZB98wbeaqZjAxXLWOs3UQlruOvr6TT8Buneh7l21ECE-wyU,75,125,138,False,False,True,False
300f67a8-5e52-4f9e-9bd7-b633259a40e1,RANKED_SOLO_5x5,IRON,I,FKJRZcuQzKkoYpDQMo-kmmUKuY_zjMqDP49tZw0WQeaghitE,70,278,278,False,False,True,False
80c5efd6-343c-4d00-aa59-282d87f83972,RANKED_SOLO_5x5,IRON,I,_wB-x94zNQnf7DPrECTFdGPVuqarvMLIsEKikmB1Fw69asQa,97,110,122,False,False,True,False
300f67a8-5e52-4f9e-9bd7-b633259a40e1,RANKED_SOLO_5x5,IRON,I,b4KH78HtSvGTAnqTpux_Z7vLNCvFl_2cZ1URWXS8FWe0EGtI,75,110,119,False,False,True,False
a6dfcf17-5ba8-4118-8ec5-deeee46c9a9f,RANKED_SOLO_5x5,IRON,I,2hD2Q_hSEEVp9G40A5M7afDqu0-DNeCMfzDFaV_DWyje6gQN,5,127,131,False,False,False,False
fa438140-25b6-44e8-b773-1b8e73237886,RANKED_SOLO_5x5,IRON,I,OrrIIzHj_0AnXQmRoyhNuzxMQ1PQyMJfgJpqtrFFomHMSA-l,16,164,167,False,False,False,False
caa1bc3c-5d23-4eed-90e4-5a8f7cfc547d,RANKED_SOLO_5x5,IRON,I,F91eS7RnwTsm51Y-PGM8oLzNDkb4p_zPdGrP8YMow88huh2J,57,135,140,False,False,False,False
09044c66-34f0-4a97-810a-80c49e9b4e6b,RANKED_SOLO_5x5,IRON,I,kHuKK8UD91TXy3qNMsBncsTj-lZhXncfWv-UFsmH5NVa3jKY,37,106,109,False,False,False,False
b0b6cfb5-9641-41d8-b021-9fe72e01a55d,RANKED_SOLO_5x5,IRON,I,oRG5v2D5R-wcA9We_8_xPwyRvlhaRFWtVUdvNrMt41J6byHx,28,344,360,False,False,False,False
b4d1b1b0-f116-4200-892c-6d0a2ab95cfc,RANKED_SOLO_5x5,IRON,I,jY5NWh_-3YY3MCg_7vOJmheXTMdE1Vlq41GjF6ImZDQ6aYO5,99,184,196,False,False,True,False
