leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0b304a2c-0cc8-419b-90a0-97d3ed9f2bd2,RANKED_SOLO_5x5,IRON,II,xDO3D9NNGUjhhECLIYMstkSzc250TKUeeCG9YhzwjtrJvsgb,16,215,219,False,False,False,False
6d08c673-4e1e-4fa9-a44b-afc24715af9c,RANKED_SOLO_5x5,IRON,II,qmkltUbkdsagaHsKwBpmETinT5CVY0_1YzQiOkgUcG60Egm2,82,258,299,False,False,False,True
7f0ecb16-300f-4520-9a2d-328bad313b1c,RANKED_SOLO_5x5,IRON,II,oY_OX5u_jJwiR4jiQCRAyQGc41BOxgiK-M4KLmmX32YUS990,44,128,125,False,False,False,False
1503e802-3842-435a-9e0d-effb39a83f24,RANKED_SOLO_5x5,IRON,II,pKVJkJ8U-KAwj4e4oxWB_Quc-zmiaJlIoM6VP8Uac38ypELI,59,100,103,False,False,True,False
31b87c6a-42a3-4d87-b225-7950c8b9dfdc,RANKED_SOLO_5x5,IRON,II,_jcjLrynTi7eurZnC2G3mAcKLXKLvpABquQzcVKkXmPx8Uci,91,127,123,False,False,False,False
a33c8c2c-aef9-43b3-a327-87f72d54931d,RANKED_SOLO_5x5,IRON,II,6zimIK9B38Id_o5kp37yjfFoIRTLi3PH3uDeziE7Ff_E0_2_,0,169,178,False,False,False,False
d75f3292-7024-4a7c-8351-bf46254b7215,RANKED_SOLO_5x5,IRON,II,idp-eC4YbYb-BGMk3xW7isJYd14k-ah7AwVwtz5yHcrwwwYj,76,103,119,False,False,True,True
b130d90c-c252-47df-aee5-b88b3f9ce40e,RANKED_SOLO_5x5,IRON,II,BZGs8iEER1oaJ4nt2mlVGJoawlUvVkkPLARcyPoPQtNdwEVI,85,147,166,False,False,False,True
5094f82f-3318-4228-bdd1-0652ece55065,RANKED_SOLO_5x5,IRON,II,1czEVFsCzHzRROZqlZc3kUhFnp1VZsfUBxuI-F-EN4SrCqkz,42,127,131,False,False,False,False
1610f1c8-a7e8-481e-bd5a-fd14b59a5656,RANKED_SOLO_5x5,IRON,II,z2XpQ149wV0ey54dQ4-GWQpzabzmWVRV8soTh7hXXu0DBauC,81,116,121,False,False,True,False
7ce6c1fc-d049-4686-951d-4c1ced9148c4,RANKED_SOLO_5x5,IRON,II,gyLz0n5S5jI3AcfGNhbr-fcmdSYKHGsSTR7cyM_z5G6EzlXx,25,130,133,False,False,False,False
302c162f-32e5-45d6-8fd6-01b4882194ea,RANKED_SOLO_5x5,IRON,II,47KoIgWnWc0Vz9cP-PK5cMD-tWupiip9uE5BB5pSzVm2Jtca,57,205,245,False,False,False,False
42dd7174-7e9a-474d-8aa7-6e9c9e50922f,RANKED_SOLO_5x5,IRON,II,EIhnwm6dFpHcGAOCNGTZcqEEgO7VxKoXFpc_dHmHXnfSRIfX,33,217,235,False,False,False,False
42a8eeac-3f4a-47ee-91bd-52d2ec820a35,RANKED_SOLO_5x5,IRON,II,RaCJulvSUOD2kfiN6WZOSUqYKYdZGDwHk-vWdZTq74O-UymL,17,194,221,False,False,False,False
b77f5df9-a4c3-4c63-8913-3f6ecfa433ff,RANKED_SOLO_5x5,IRON,II,lO7IsIseDbc879Mj_JzzVo6mszoVo9fLH0_7UgONjich4BBF,20,140,137,False,False,True,False
