leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
98b2f135-7633-4a22-806f-6f25de0901ae,RANKED_SOLO_5x5,IRON,III,IBv_UkbIpk-DYy9ZzYa52k7sK75fcgPM8y4rxZmzCqxoH16T,41,111,125,False,False,False,False
057c4945-d3e9-42c7-afb3-2578b715c5b9,RANKED_SOLO_5x5,IRON,III,z34T0qESrGqS9oEWOqPeWcDHxYqWp0lvLOnmbKwdO-Gv9gRY,18,116,127,False,False,False,False
1237548f-1f75-4ab9-bd6f-9aea872efde4,RANKED_SOLO_5x5,IRON,III,0UnBFPnrweGAOIiVVgEGTSQIVjQS-D7QeYir3A--zk8yEfSE,83,272,287,False,False,False,False
03844f2f-1da0-42cc-ba0d-a321dcba5bc5,RANKED_SOLO_5x5,IRON,III,AxcksDktdXch9Lie_YanFNK2xemKWc7CxT0Mz8JXSRPBeq42,40,93,120,False,False,False,False
a57063f2-ba5c-40c2-9820-b1c73625c668,RANKED_SOLO_5x5,IRON,III,4LUn5f45sI8BRXWJVPmt3AjtS3zd9Un6zDjTDTM9RsPdYRzs,64,109,108,False,False,False,True
d4353409-69cc-413a-ae6b-c5c02afd1279,RANKED_SOLO_5x5,IRON,III,olx-IC48vsB0AgEDv7kkt6cTV1QUZ81AFzywXW6ghqrG2WIB,40,122,144,False,False,False,False
0691b027-5327-43c1-a065-6d5347b45c16,RANKED_SOLO_5x5,IRON,III,zth9ifuRai4rEogRtJmeuGgfTk6pjIiqPhMCk7vUbnZV5HcB,93,229,241,False,False,False,False
2c57c0f9-2523-4e6c-8c6e-a1a909adfc0b,RANKED_SOLO_5x5,IRON,III,2SZrnoHetJRS3iMMeWESTrV4e3EiwA2XkaNLsiZ0eJ0DcNqw,47,98,104,False,False,False,False
066f3a33-cf09-4394-a4ec-83687d976e39,RANKED_SOLO_5x5,IRON,III,XunM7_NbrQ86G2EO9ntEERFRnDY5PxC5YUXGhfSUqfR3ER53,98,395,414,False,False,False,False
a81d8a4d-a34d-43ff-b9c7-d19f2cb4f35d,RANKED_SOLO_5x5,IRON,III,stF5CmPPoeOOxDCynIk_ft7qVRaAjvMGx-1rOh66FDdPiLn8,82,106,107,False,False,False,False
d3fa6bd9-5465-44f4-84fd-87eeef89e81a,RANKED_SOLO_5x5,IRON,III,AxXkl_fQN143ZA1Sc9P-4Q8aHS789fU9rZtDvLCz1PHtBKPU,90,148,154,False,False,False,False
9a59f36f-e7b7-4639-abb7-ed1fdbb7a4b1,RANKED_SOLO_5x5,IRON,III,Ccg9xHHtMIggcW0x97tmdGG6XUOUVcK3T83A5J0bPB4XiMsU,68,144,174,False,False,False,False
78c7bc4b-f7d1-42cd-8a5a-0520ef56000c,RANKED_SOLO_5x5,IRON,III,odbZdNRWDHAAYrcFW4_NkzginASfGLqqMuIN2aBGDI4JqcKD,46,126,146,False,False,False,True
