leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
176b97ee-ef1f-4c98-9f46-fd6463f7133b,RANKED_SOLO_5x5,IRON,IV,w8umo__I9nI9f7uaIxISk4pOnBlFpawgrki_ouZ2ctZ60bks,61,176,188,False,False,False,False
d21600c4-0f0a-4813-821a-3853fe8df1bd,RANKED_SOLO_5x5,IRON,IV,31yUFx7zBU_O5hJypy22JIksqNRIap-BP3Ji6iazp7HxEaIk,0,94,113,False,False,False,False
12fdda13-5515-439c-9dec-8a5073a79b4e,RANKED_SOLO_5x5,IRON,IV,4NDEvuTWcxDrDSe9oTHrbiBu0MM1N3qeO5rkL7fBTzxjzcvl,63,175,186,False,False,False,False
16acbadf-caae-4374-87cf-8eb39c7dda9e,RANKED_SOLO_5x5,IRON,IV,rHBUYSOJMhbJOzp8Av_3scDR7BRwpHaRGfH1JNFCwe-1DHxG,85,160,167,False,False,False,False
ca15110e-5c92-44e7-b9a6-22b70d031743,RANKED_SOLO_5x5,IRON,IV,COy7_q0CiDcsIkjpnkTlaHA4yS_yuE3o5bBaUM7CnQ1jqlDX,78,213,223,False,False,False,False
ef0d0db6-04fa-46fc-8212-9257c8c9aa9e,RANKED_SOLO_5x5,IRON,IV,Igovc6aUgPV3a8BwMnHQPyyhm0OU5S6lXXMnAmXeOAMG3yZ7,74,124,126,False,False,False,False
0f37d456-9f9f-4907-ace1-acafa7f37f49,RANKED_SOLO_5x5,IRON,IV,0xTQzyvmA6xPQL93EctEJrqLQB025r5l1vWapX9f2bio04Oa,74,104,136,False,False,False,False
8c0f0637-e20d-4175-856b-1831b58b186c,RANKED_SOLO_5x5,IRON,IV,RhLHzILb0jqbZQlY3rHU_M6M44oqK01nTgZ_HNqJYzdcy7gD,0,143,222,True,False,False,False
0927ba05-3782-443c-b683-e73a617fd3a4,RANKED_SOLO_5x5,IRON,IV,c_FLoKrvQfTJYY93_LQ5xJDSuJYkcY9nno_eQ9uDSBIgl_QC,58,138,151,False,False,False,False
5c64d710-8796-4ff8-862c-d78378936283,RANKED_SOLO_5x5,IRON,IV,okZlnJOLypKlP2BFUPfzqnM3HE3ppdPhTQ4f86HxhJKG3jJ1,76,178,191,False,False,False,True
ff3c2cfd-2898-45e3-855d-77d07278426e,RANKED_SOLO_5x5,IRON,IV,SOuNMsAoB9POjVUPVO07c5FGOe4hDZIxqCPL4RfC2Vs5BXIt,51,163,164,False,False,False,False
97a071c2-c0f4-48c2-a383-83b0772dd6b4,RANKED_SOLO_5x5,IRON,IV,-bD0GSojHHprSuLhzkZTtCYUzGh-sq6ROAIp7AmEjXIH2ZXH,84,83,119,False,False,False,False
46ba9978-a2b2-4a07-89e4-502c05935529,RANKED_SOLO_5x5,IRON,IV,h5r2Go4cbOeBmWbD2kJIY9qzDcd9uPa8cpGnBqQUxvhvCpHO,34,204,213,False,False,False,False
c7e921f3-4c21-4587-a044-6da16eaa2c91,RANKED_SOLO_5x5,IRON,IV,RgsdZBOahL1F-6HQ6W3jGU8NNqWN9_JFi-I8NhvgUx9lssOH,59,103,129,False,False,False,False
61460365-f024-4a1b-9ad2-597dd6dd208a,RANKED_SOLO_5x5,IRON,IV,cOo4YKkkvAgW7OX-TZH1664MLGtx84b9j6dMXEe6irdR0ixt,26,134,149,False,False,False,False
5f4d6ba4-451f-4dbe-819d-60c1ec9f2634,RANKED_SOLO_5x5,IRON,IV,s2kceVXjSs9eK8k9huR5_LwuuLGeL4NtesJ6MSw1YqqsbpUh,19,94,116,False,False,False,False
2ace9a3b-b5d2-4c69-944b-0322066b83f3,RANKED_SOLO_5x5,IRON,IV,PsleO2x2GnG7aWkOxv8EzZ3BrYsvw-MUKUh5GDiYoHBi7Bkw,0,116,134,False,False,False,False
dd57828b-7b81-4f46-a6de-9c1bea54822f,RANKED_SOLO_5x5,IRON,IV,F9M9C62ausB4pIlM66dUd5W1H4Pq1RkcNacPi1uEs4WDXO4e,0,195,213,False,False,False,False
7ed0fb15-d895-4d22-a63d-60dd46e51cac,RANKED_SOLO_5x5,IRON,IV,jZ4PZqAN7ch33RVNRMRDMSrmHU1La-1DMGZwGbmQD6xTBJEC,23,345,474,False,False,False,False
2607e15b-243d-449f-ae48-36a97d8673e3,RANKED_SOLO_5x5,IRON,IV,RwmZ_7mX7C6RugEC01TBfkBf3W4AGRCBw2nJDbelbmh7YTdr,68,151,160,False,False,False,False
09b7908b-1c8b-4093-b126-ca92131ab642,RANKED_SOLO_5x5,IRON,IV,W2EqsgJSg6j6-T356AB2lXI6NgMeZFohHTR29o9JahbqLKLG,64,146,168,False,False,False,False
c1e0cdfd-6548-4cd7-accf-c83f15f38479,RANKED_SOLO_5x5,IRON,IV,pBZmZbPuhUFUoG-hV64Q9uG9-hRw2nxYHiuGHhTrsqOOPR0U,61,114,116,False,False,False,False
8d503c3c-af4e-4121-b556-514f68586719,RANKED_SOLO_5x5,IRON,IV,jT9iWV2hIOMo33l7NLzJaUXnEPHMLR_-xWNKoPw22w3xV8yC,27,90,114,False,False,False,False
985cbaa1-c4bb-4d67-9841-64ccde42c697,RANKED_SOLO_5x5,IRON,IV,uWCkphb4Fbeb7H7Puvr0CpIX6QryC-WmnD2mKBeDWMvluMrx,0,97,126,False,False,False,False
c2fd2e30-0b15-4019-be3c-f7b82a183142,RANKED_SOLO_5x5,IRON,IV,1Os_aBnt_DmTH7072lrnu9YULjejfbZqRJTu5eG6V_mRp2Le,67,129,136,False,False,False,False
ee1683f9-9688-4548-aa0a-f145de8d6bbf,RANKED_SOLO_5x5,IRON,IV,mbcEVqqpKo7HFve96UUs_MnnkNoIa9ePR7LTsaKhEb5dP6G_,0,144,172,False,False,False,False
24fb8c4b-4779-43f0-8e92-feea760c4259,RANKED_SOLO_5x5,IRON,IV,iVMv46WHXD-Ho3pInD4C9nAt1tAA6rvDCtqXSJ_FQW4hQQf3,25,195,212,False,False,False,False
3501a4d7-2640-4c8b-a5ae-32b59fd3d210,RANKED_SOLO_5x5,IRON,IV,gO5XdMwB92UmKJCHTJgScm6rw2ZnPyS5a4mVMevJM-b0bjwD,26,97,107,False,False,False,False
16806731-b95c-4062-a569-b63435d640bb,RANKED_SOLO_5x5,IRON,IV,GvzsoSXOeth0auxJRkWdeQ_5xGXB8d7F0i-gCjSPRNHZCW2k,27,92,131,False,False,False,False
d2186a13-f9a6-46d1-b4ca-864d43f3c0a1,RANKED_SOLO_5x5,IRON,IV,9K-7LwUa-KpAhFtIzS1INItshmwznyx-lltG-Ywe0l5lxz9D,86,104,119,False,False,False,False
45fc6404-4713-4211-bee3-5235c0187a13,RANKED_SOLO_5x5,IRON,IV,zaHoQYeLEa_obsVTcsbpuZM_cnzumsb4i_XnyUz0b54KK0Uz,40,105,131,False,False,False,False
d3bc5cbe-767a-4bc1-b7e1-f84e91a89ca6,RANKED_SOLO_5x5,IRON,IV,fNmOU9eVfBUzoPMmk54gFNUDu_IDyz30XoS31BIM-9arBaPB,0,186,206,False,False,False,False
fafe8a67-55bd-4eca-a379-5c64e8ed0b50,RANKED_SOLO_5x5,IRON,IV,6QoscG2zwhcek5EmQNP5-nGZ5lQrCbrKuP5xNEJZ6XU7Q8sb,26,96,147,False,False,False,False
d1988133-4f52-476f-82a5-080e19500245,RANKED_SOLO_5x5,IRON,IV,8nGErS1NctUhDBjvOswenla7W8QMifZkzAUOvNf51wjaKz16,39,133,152,False,False,False,False
59d20bff-9d51-41f2-9916-f09623e41d7e,RANKED_SOLO_5x5,IRON,IV,bGn0Hcg4N1NUGvOaWhWtPxpRnPTKy8jk31Huwk63aOmmgvuR,87,209,214,False,False,False,False
bd09f7f6-50cf-40dd-9652-b52947e0ede8,RANKED_SOLO_5x5,IRON,IV,XLOw2jiJQxnjxNm6MWFh32OlWem2sAEqC7MAH5I3xnHiu7VT,98,153,157,False,False,True,False
7ae650d5-ed41-459d-b55d-8e8f38099e82,RANKED_SOLO_5x5,IRON,IV,__EVHGrd8snjdbRRh7TnbetIHZTbuzwoXYU-jsxnW_eaBVvY,33,138,167,False,False,False,False
306902b3-4af1-4109-85ac-5b8fe1d16cf9,RANKED_SOLO_5x5,IRON,IV,I9mLkoc4wjMDVdsOVqAE7tvxTHVL1tyyi5-bgYKoNqm9fX62,16,162,174,False,False,False,False
