leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
42dc822b-e334-4d43-8236-13e9da5cb32f,RANKED_SOLO_5x5,PLATINUM,II,U9IMGeKERBkxy1mQuQBE3TuOuHCvAIHqYeKuucdlK7ervLbo,12,216,218,False,False,False,False
504da472-142a-4d61-8985-e8d2c07c68a7,RANKED_SOLO_5x5,PLATINUM,II,VrJ2f17OPJLwTCb5Mrlj-iifQGVefto53G3472Zs_tU2JWzV,92,148,133,False,False,False,False
cbd8a959-3c1d-4207-854e-ea64417608cf,RANKED_SOLO_5x5,PLATINUM,II,b-UcogaaMaIadTJxGWmKN_0ypfKI3bn93Q3N6EJDut6J1tDN,84,158,142,False,False,False,False
a663168a-d5c7-45e3-8097-c1e355428150,RANKED_SOLO_5x5,PLATINUM,II,HIozJ3itFSh3HXWQRlQeQUsKf6PKDHkHsbSCc2zLaQGOf3m7,36,137,131,False,False,False,False
f79e9f2a-2100-4264-9a79-fc7823dd27d1,RANKED_SOLO_5x5,PLATINUM,II,tHbpl4NG1e8qYLvDGypcys6ka5OAOwQGRFqrbmjmpJ54S6Ef,93,513,511,False,False,False,True
f0e11081-e1db-418e-9f95-02de48628cb4,RANKED_SOLO_5x5,PLATINUM,II,RH_4Ti157l04rDKsh8KN6m580ZqL7t1Z7gEc99hKB1sQWeyJ,85,142,142,False,False,False,False
d1646f05-3c2c-451a-885e-ec6a734812b8,RANKED_SOLO_5x5,PLATINUM,II,ILNd-Lg5s9ydGWrsPUKYeqEnkGaYJCaDzXm5oZipcrdV6Eia,37,112,106,False,False,False,False
9b3097a8-d115-4651-96a2-c33ad6af69b4,RANKED_SOLO_5x5,PLATINUM,II,YueK8ElFpQxvJUUDq9sjHAuYHDXGbI4gZIranbM8j8jRu7yX,83,131,148,False,False,False,False
58018406-3722-41ce-9a3f-88629dcee4df,RANKED_SOLO_5x5,PLATINUM,II,OUwy64EfXxp6zoUJ5XSgR9mHSXZgdTBNfB1cXBC4I0a1GSjT,6,128,127,False,False,False,False
1b2ebd62-fd37-4fea-b443-a4a46ced7d5f,RANKED_SOLO_5x5,PLATINUM,II,LMuXxFSuc9XAQWb5S_08tR_1vDZ9OoTWkS2dgec187dw1rXK,17,197,204,False,False,False,False
