leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
cd09cdf2-28a3-485b-b584-068589facb3a,RANKED_SOLO_5x5,PLATINUM,III,Pm_JBtDAZOxgrRPSX8GtNkBwCOcie2zVDPW2c5Zo2ZNNB_08,1,105,117,False,False,True,False
b1cf073e-0680-4a5a-bf59-0224878e4832,RANKED_SOLO_5x5,PLATINUM,III,AZTc4PXS06CmwgWLLTnfaRe9hioq3XbSww5vFcfQg236hiBH,28,112,119,False,False,False,False
31bb4d87-3c67-4990-9d62-1d224a332af1,RANKED_SOLO_5x5,PLATINUM,III,Yn22kmtF53HB4dd6XQuDL3iHeRWT66AV6dUn9JVap7zi6qPG,56,139,139,False,False,False,True
9d9c003a-6870-44ee-bd9e-6fd7f8ca67e0,RANKED_SOLO_5x5,PLATINUM,III,HBaT6luGvQ0ZssC3XX0DOCLlBRtrOkjD7HVxkpbgI8ccN8UF,26,101,103,False,False,False,False
d3b9b8a5-85a7-4418-a4fe-bbcf3d722ba0,RANKED_SOLO_5x5,PLATINUM,III,MmLqrMc6T0an9EzYUN9iCR0JaYOSU9XbT_sJG7aOYuEZOZ4i,54,212,174,False,False,False,False
a8f73739-51fc-4f2d-aa48-602faebc3149,RANKED_SOLO_5x5,PLATINUM,III,sbst1i4Mti4vycprQDw3-kc2bWIc8H3TXrMv-Cet5jEELmay,58,130,137,False,False,False,False
364e0217-46ef-4b6d-b6b5-7ec3a08e815a,RANKED_SOLO_5x5,PLATINUM,III,uJnvAjtp4Ui0S565o9gjfCxtt6Kruv3Yu4ZI5IXrzbEweTXB,82,158,147,False,False,False,False
d52b3f32-0af9-4ae8-916a-eb1cfabb95af,RANKED_SOLO_5x5,PLATINUM,III,l51Zp3pxqSd25e7AZryCHqjfhM61OnNVR-1Grn9NUPhPmLI2,81,115,87,False,False,False,False
d15626c6-2ba8-4636-89e5-61105993c41f,RANKED_SOLO_5x5,PLATINUM,III,kcWVYJGaozvS5vGBkjsJ2qXiryp2AnLJgoqASoore1G9qgw8,87,107,132,False,False,False,False
ecad27bb-e76b-4645-93a1-5dee4e5221a6,RANKED_SOLO_5x5,PLATINUM,III,O4NDo4xo5eb7hfC0Anjwdyx7LzJOc6xDOZGukiVAnIf7MQNF,76,142,116,False,False,False,False
d703f618-f052-478e-becc-899b2d702879,RANKED_SOLO_5x5,PLATINUM,III,0-kZOaeO6jJb58v6X0K-piCTp3yNI3toTT01LI2FfaezY5H1,61,111,96,False,False,False,False
fd798dfa-338b-4b5f-9c8d-2ab4d86b0874,RANKED_SOLO_5x5,PLATINUM,III,2BJcO8Pb_IBpKN6EA9ydnISA-1Sh6X1oSmpOCLpnEQLvv2LN,44,121,127,False,False,False,False
f49bbe3b-dd26-44ae-be53-a8ce4e9c253e,RANKED_SOLO_5x5,PLATINUM,III,1j-eVKCKzUvFDmtSJG8GnUIpNkokWjsUX4BoW9QyVg4MYNRG,8,203,179,False,False,False,False
d585a08c-b890-4634-ad67-d8d1d221b670,RANKED_SOLO_5x5,PLATINUM,III,Omnes9-gnP0YKYgHt5QAXxPZCKJ6ptw9QumLYZHDKc3oEe6N,11,158,159,False,False,False,False
