leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
06a63626-4466-434f-badc-48d9ae0a095b,RANKED_SOLO_5x5,PLATINUM,IV,IIDsVUPx8W4p1dcbUqS8oUIkV7U6M_VoKJRoSihoLJRv9ZBg,95,127,118,False,False,False,False
d3b9b8a5-85a7-4418-a4fe-bbcf3d722ba0,RANKED_SOLO_5x5,PLATINUM,IV,3QYmjKDYok6EWHXpRkWba4D6suf-nUJ2wM2FCOe2k5x0aRSK,46,108,99,False,False,False,False
39c039b4-7763-47e9-a3c2-1c88eeff9ad3,RANKED_SOLO_5x5,PLATINUM,IV,Fot81qcaumGKh4iG1ADyPsaDxuYu4RdHM1yvbGlmgneX9mUY,43,174,169,False,False,False,False
182bbf13-2667-4d13-8d6c-5da82b6c1665,RANKED_SOLO_5x5,PLATINUM,IV,PpYWzC4rFKqXUUcrfGCUj3Mi4PXstCyjh9Xv-s_FBaNrJJRS,13,171,139,False,False,True,True
0979d331-37f4-4b47-89b8-2cf3e47b9308,RANKED_SOLO_5x5,PLATINUM,IV,UYYvSFoNNNDDqYXg0zlyh7P6caF1FrThGd3wpTLodhTuEtPs,44,178,161,False,False,False,False
066dd677-4f8c-42e3-bbb4-cdaffd731200,RANKED_SOLO_5x5,PLATINUM,IV,8si9tc6-lkdTPYzbNFwQpE88VxrUfK9WOGFdVqu_J6xwAur7,48,139,133,False,False,False,False
3da400b3-6ad3-4171-8f15-40647b95e010,RANKED_SOLO_5x5,PLATINUM,IV,UxRfG8YetycVW0d-fX8j-gOZjI4AplaauX3e6TJB7gtO5hEG,26,162,160,False,False,True,False
a6a09809-8a30-48cc-a0d8-1ef7343f7649,RANKED_SOLO_5x5,PLATINUM,IV,f6MPruQ7Ej19i3JDqlHbRPS1PZm0cu9lJ6T6WQZ7Kqh-Q37i,26,128,119,False,False,True,False
10756501-34d3-4872-be3c-f830d80a8c23,RANKED_SOLO_5x5,PLATINUM,IV,z6qlYGusGyiUToaFQdA55Ghb_AIRusc0qz1leqryr2MltlgO,39,127,130,False,False,False,False
066dd677-4f8c-42e3-bbb4-cdaffd731200,RANKED_SOLO_5x5,PLATINUM,IV,GMTQwxq48fnCVg5oxCZ0ps4fZf-GOK6modPRykGJStUJc2uO,93,131,115,False,False,False,False
6f319637-0569-4c43-b72c-a55ddcbb660d,RANKED_SOLO_5x5,PLATINUM,IV,r4BJrALD_M0F7n3PRz4JtmV-gI2SUROlWiXuP2jmzyDIpOR0,22,189,190,False,False,True,False
08f01d99-ebc0-498c-9b4f-9d9587e82a05,RANKED_SOLO_5x5,PLATINUM,IV,ztroR10KTgv8Pmv1fKIgocL7OmSGOnP2Nza4YJk0ffFLoNRF,13,169,175,False,False,False,False
50d87660-7e7c-4fa3-9b3d-9ffb28f0d160,RANKED_SOLO_5x5,PLATINUM,IV,jiAXUKvPLdLyxydcFUeleah8c9TfqRlNIAeGzP80_VXSkk3C,38,134,139,False,False,False,False
2055ed60-52f1-4579-9e18-40fb3c33d83b,RANKED_SOLO_5x5,PLATINUM,IV,B_R_Wi6QLBFi9GpQ2dbZhWDFmgYzpVtEXRVM8r-GyjsKLzAy,57,106,99,False,False,False,False
c55075ad-2790-4a8f-bbc3-b914377fc1e4,RANKED_SOLO_5x5,PLATINUM,IV,gQuMaXplrf47id6G5s3T7d04sEMsD0E2k6rTXQtkC3lQQKr8,44,205,208,False,False,True,False
b7da09b0-77b6-4422-b8ec-8ddd80ba0b15,RANKED_SOLO_5x5,PLATINUM,IV,gB-iuDqUpPua7UcB9O7tIyct8Cwq6-cnhT4EMLNXKsaybW2k,37,116,98,False,False,False,False
2ff0983a-81b2-4cef-b964-b9ea90ca23dc,RANKED_SOLO_5x5,PLATINUM,IV,yeJuo79jr2LRwc5eoVFEqNMOPpy6kdN1n6nSnwvOkC9cXKBT,30,119,112,False,False,True,False
759bec74-6c9f-42a5-a749-02bd1b3360a4,RANKED_SOLO_5x5,PLATINUM,IV,uM2DypuSbRBL3-PviO8vzZAeKJQfYAv_habLlUnqcBohRb87,0,133,148,False,False,False,False
404637bb-303e-48ac-9fea-387b8e90f854,RANKED_SOLO_5x5,PLATINUM,IV,N8BmsXNhxkGhupvdtRkapLCYWhqNR5AHL3Q-Eoofbx5d46RL,83,162,162,False,False,True,False
cf01104c-c9f0-4c2e-b1bb-174633b95795,RANKED_SOLO_5x5,PLATINUM,IV,IJdVt4PPiI2EJzoUUiVceFXA_hL3D8JapnCmaWZXxKJBaCDy,1,162,207,False,False,False,False
ad3875e8-3d5b-41c0-b458-b45fd6f5ce40,RANKED_SOLO_5x5,PLATINUM,IV,5dE7-rUFCKFW9bip7kL-Sg-dkTVdzgdEvnyJEKk_hbSEFZf9,72,109,123,False,False,True,True
3a01ab76-ed2c-48c6-a4b2-8438857efd18,RANKED_SOLO_5x5,PLATINUM,IV,5tP8sk9XknjSQ1bjrtmlJq3iIjfnV3UIdNng2K2YtU5EJbIz,19,141,131,False,False,False,False
9b69850d-3901-4d8a-98f1-3200d84e252e,RANKED_SOLO_5x5,PLATINUM,IV,1Q35I9_qtLp78szs9yutjfngNI876PkiGGnEiO1YNAUXzEHr,75,113,103,False,False,False,False
a304c988-9a8a-436b-a1f3-89905709005d,RANKED_SOLO_5x5,PLATINUM,IV,ERJlzLwHxIZ7yi9pK-afaIDCklMuZhCbkC5Pd7qXVab8Ma1l,50,152,134,False,False,False,False
96e3f64d-0d25-4087-9407-b5d69c5e0895,RANKED_SOLO_5x5,PLATINUM,IV,fp-rkWloasKR7Y0IzGGBpkmjbukKm2MtlAK8wEacADlaq4-S,44,124,118,False,False,True,False
d7ecc087-4c4d-4377-a75a-9b5be12afd78,RANKED_SOLO_5x5,PLATINUM,IV,LTrjgOG10qe-wLCqZTyqpIbDgL0SZaxHmJE6XZf15mZgvGpt,25,110,104,False,False,False,False
702d7858-252d-4840-85d1-e6853d873f5b,RANKED_SOLO_5x5,PLATINUM,IV,7baZp4k3nGg1b8wWmlPCiPMGnfTxFOW2f3-5cULZr6c8sZTO,0,148,166,False,False,False,False
62ba26fb-02e0-4522-957c-0b13d4c42a9e,RANKED_SOLO_5x5,PLATINUM,IV,nBdLNcvNwpdGuaprwYEp_ifsqTpmc3LYIc58xk4yhOeffCgi,3,103,104,False,False,False,False
6d4e5d3b-f61a-4535-92ba-17f2b94e70de,RANKED_SOLO_5x5,PLATINUM,IV,UzFLSJISI-HdLOrT1tnx7ms390Iz6fE7KRYVNdpvRZNWtXov,48,113,105,False,False,True,False
0f97d386-d5d8-4ea5-94c7-90abc4dc5879,RANKED_SOLO_5x5,PLATINUM,IV,gCMU864dQG1vf3D7wSS4tLGkWOx0hbcvBfkF_iyo8RTUcUIE,67,136,127,False,False,False,False
67e6de32-509b-4fd0-afdb-306a14a1c30c,RANKED_SOLO_5x5,PLATINUM,IV,YKvR4ttandf9cDUE0_wt_TFHrSTKwRevSFFxIG7GBonrX-AN,1,135,147,False,False,True,True
4b957cf2-035a-45d9-aa00-2fa7f4cae556,RANKED_SOLO_5x5,PLATINUM,IV,4C56dWe_1Yw6fAg8PSUdQ2N45lQl8CLR_7h0rl74H4wI_E24,0,111,119,False,False,False,False
a754c31e-56e1-446c-85a7-3008d3ba1f44,RANKED_SOLO_5x5,PLATINUM,IV,ZVlAWoFWTKbiKNwJ5_86Z7kahuBB9QIGAquOa9QwVeBTEho1,79,197,205,False,False,False,False
8a71e553-b971-42cc-acb1-c1b0a19fcd47,RANKED_SOLO_5x5,PLATINUM,IV,6FZPj48JT0WkPfMOsyhLo9gsvi6PbiCY1KV8Aif5s9kWvGrZ,0,107,113,False,False,False,False
2c8da9f5-529a-4e09-9e49-644b7dd487f6,RANKED_SOLO_5x5,PLATINUM,IV,quJUGHEMMIeMgIq89mLEjaOqqpiGP9wGk2sgV7owSK1TQMMV,21,137,131,False,False,True,False
612e4684-b944-4d09-b59b-de0d755d47cd,RANKED_SOLO_5x5,PLATINUM,IV,k64GJ8fqq9Bwhk6sXHVqkvaKX38pDLVy8Y6mm2Yf6ulAwB2w,67,291,298,False,False,False,False
3f2aface-e6df-4b7e-b35d-34859f29fc10,RANKED_SOLO_5x5,PLATINUM,IV,6CDywprSKBUhEmQrEatTnkTgACbAyDvtNsecFA7v-CrJlSRK,98,114,128,False,False,False,False
30270dcd-7346-412f-802a-c551a50fd220,RANKED_SOLO_5x5,PLATINUM,IV,jev29aHVjkMnml1b65yBltCWknVbpmMgRG8GPpsh4A5FPEIN,23,280,268,False,False,False,False
1dadc958-1f63-49c5-82dd-212645aaecf3,RANKED_SOLO_5x5,PLATINUM,IV,bUrydcORAn3F1rC-puaLNryD461qJvHemkYwxOr5yA55DCLz,42,101,105,False,False,False,False
911a9600-e89e-427f-96af-fd1027f0122d,RANKED_SOLO_5x5,PLATINUM,IV,7Zr622nhAqCRxSV5OrYjeIkQkdoe0Ie_Ovk_sZ6EXqoGlEVj,16,118,106,False,False,True,False
95474caa-151b-4442-9244-4557fa8d69eb,RANKED_SOLO_5x5,PLATINUM,IV,71ljgjI31q2UlkdMkvt-6x_PZEd8Hr7XOY7x1AQI5Aiu8SV6,56,124,112,False,False,False,False
392e1c29-326a-4f3c-8a3e-d5a68e8cf3fe,RANKED_SOLO_5x5,PLATINUM,IV,rjnvBbB05Uk7wDpWr1xrhfqILavn9BWnGzfPl2KgmYKfLAPB,0,123,100,False,False,False,False
cbd8a959-3c1d-4207-854e-ea64417608cf,RANKED_SOLO_5x5,PLATINUM,IV,gYRnlrF5-W1CaCl9qlfRWJg4hRBRlVaUdZ91IOhmk2yuIUqm,23,129,132,False,False,False,False
840722af-435c-466b-9fd4-ad13172d819d,RANKED_SOLO_5x5,PLATINUM,IV,Cu1TaAuFb0ktzN1EZVkxRbTk1gpGTL0b7k995N_qm_JPSlx4,44,162,136,False,False,True,True
0ffa8cd6-34d5-409d-be5f-dff02ff7e335,RANKED_SOLO_5x5,PLATINUM,IV,JqjigPe1VnVzRyWbfjE0fyk-e4sMttYCVxsHsT688q7uQYAe,19,147,143,False,False,False,False
49d74045-fab4-41fe-9bec-2598729b0209,RANKED_SOLO_5x5,PLATINUM,IV,m02vB9zn0G-l-MmjOrOX7pkhtzDSbugs0DOeM-jfxNcZMIsr,0,150,146,False,False,True,False
e1e187e1-2fd1-40f9-94ba-13b39461f22d,RANKED_SOLO_5x5,PLATINUM,IV,QnMFYhkmAxdb6T7NWeamcPrDOoKJ0CcW21MlKqXV_TFWaUeD,41,108,118,False,False,False,False
ff58c0ab-62dd-49ec-a97d-ff5783364da5,RANKED_SOLO_5x5,PLATINUM,IV,pAdyXm6sA9vKzlUMLc3TsZ51DCZj_i0XZ4kQxJAG0W-hHcZx,21,109,101,False,False,False,False
3c62906c-dcf7-441d-913b-757f848ff130,RANKED_SOLO_5x5,PLATINUM,IV,wWxgprkugsYRYW4oax1fWyS1MuSr2linaG9D13REgvA3qa7K,43,184,182,False,False,False,False
9d7706aa-3417-4993-a197-d15d7a6ed71f,RANKED_SOLO_5x5,PLATINUM,IV,kKpBqk_2GJm6ISMoupnrtURcHxdLF8gbDqG0vLmZkNlfwimq,54,223,215,False,False,True,False
77549e2f-a4ba-4365-b15b-a39622aa1254,RANKED_SOLO_5x5,PLATINUM,IV,zCpLEhY1nLfkmmMMfrY97SHVNCHaPMVJGopPpdzrAI2ce8Jn,75,206,191,False,False,True,False
720e76b7-4e64-44dc-92de-e5d3cdd5e810,RANKED_SOLO_5x5,PLATINUM,IV,vFSZYwW6vzoZiH4B8o-PoxC5FTk8dbLkqo8y_hfOMnxtM_HO,76,132,123,False,False,False,False
