leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
96d6e415-49e3-4c59-87d1-b614144d685a,RANKED_SOLO_5x5,SILVER,I,2enw_7XPBG67CXAf9QaVWLTwUtR-l8rVY65RXFaGaoA6nkLv,0,125,138,False,False,False,False
5e168164-a9e0-4ecc-84b5-0941f8dcd12e,RANKED_SOLO_5x5,SILVER,I,dkeU79awD8CG2V5HRqYzj82Q86j6URtAroU0797NAdbDzLcZ,71,138,160,False,False,True,False
c5b1bebc-1fd0-4b4d-a7f1-7f90d4b00038,RANKED_SOLO_5x5,SILVER,I,aaU6Crtx_eCr5AS0svvQbugJtCMKZ3-jScqPDhwohGk-ed4v,96,108,110,False,False,True,False
1b78ca7d-ac85-4641-8dae-aee617f29548,RANKED_SOLO_5x5,SILVER,I,3HkIL8YFGVu6e78iOLLtXtUNr7yh2X2-sb2W2U0di_iXkcxj,9,128,118,False,False,False,True
c15c7215-e47d-4ba8-af43-4f943b4adb4f,RANKED_SOLO_5x5,SILVER,I,0_nx77-ztZ_aP1IJTEnH0YvF4_Z0n8_tr2RfqkGYbVYxH6wo,37,174,170,False,False,True,False
133a18e0-3cad-465e-8fcb-d460e870ff9a,RANKED_SOLO_5x5,SILVER,I,_cUiVm7wUmadGdbEyoDA9YAOtaxBqknf-snG2cEcZdxL72Fj,66,118,139,False,False,False,True
60f68c37-f9ce-476d-94e0-7b91b9b3f4d3,RANKED_SOLO_5x5,SILVER,I,pkaXmhlXQhjW1WtjbvmOhN8voceleq2Nk_1S6xj7ApC9K7LO,22,131,125,False,False,False,False
552549ae-3612-4060-9a1c-c40442e9dfc7,RANKED_SOLO_5x5,SILVER,I,5ogXRWi9KHvf8Ym_P5_hTExA_95yZ6peQfRggQ1-n5ANso5k,24,206,194,False,False,False,False
246ec1c8-4387-497d-9375-d0efbfd93e13,RANKED_SOLO_5x5,SILVER,I,AoEB-aKBlVn640RqAiUmO8K2nyig97g0eXw1ItoOMWR8LviY,5,139,126,False,False,False,False
92fd9911-5480-46a1-a395-688077e56237,RANKED_SOLO_5x5,SILVER,I,3RNcGsUnZPKyjrK0HbRe2vb4WL-0LfiNGsnbsig11ZXmxCAg,72,201,185,False,False,False,True
3634bd7c-6119-4383-885e-785fc9f63e4c,RANKED_SOLO_5x5,SILVER,I,-kMo19MGWyaNxFpsj0lWmHsITfOc5Ghjv3wsktG2OngMkb9s,19,109,94,False,False,False,False
9e02ed06-054d-4939-bac6-e429c4365597,RANKED_SOLO_5x5,SILVER,I,pqC6k6RvPDLsjrMKs4bn1gH77MMOEnAUTCq73QBYZvl9MdMJ,52,161,163,False,False,False,False
08ce6be5-aa31-406b-8a93-507e49939c3e,RANKED_SOLO_5x5,SILVER,I,ObpdGgo_HUFhxzbFFe8tk9Lnv1r0v-U-Y7O69v1CX70aPPZ5,12,143,158,False,False,False,True
0896f565-b3c8-4ca3-96d9-b1e10d078903,RANKED_SOLO_5x5,SILVER,I,IV__N7yQwBkAhFIz2_qntp5HXS2KhFp0NLXX7T3mgNDgPq7a,46,152,161,False,False,False,False
f2a92f94-2eeb-48bd-a763-b16b90e3698e,RANKED_SOLO_5x5,SILVER,I,z1EeKd33un5ylfBi27mkUyHWfwkvn52LUVQrqpsVsF0khLYR,55,155,141,False,False,False,False
8d7addbd-d07b-4535-8273-b348cc4c00a1,RANKED_SOLO_5x5,SILVER,I,T-X3zG4_hg2Lb9ZG7VxXyQwqMWUfAFMwOPMtzBVN0Ht4uKxQ,18,161,152,False,False,False,True
