leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
59dd3d51-da1e-4d36-87c2-ca9b95687c47,RANKED_SOLO_5x5,SILVER,II,1jrxKUo-eigY75p7KZ_yuW3gBh51P1aQgrOeYFGEgJSjaXM6,67,157,159,False,False,False,False
f01285ed-61c3-419a-af55-bbd747bcca1a,RANKED_SOLO_5x5,SILVER,II,KSCHgMo77Ma--6CLnuWpAhjcduYHq1_PMpZ61mEGIYBrks1M,50,119,98,False,False,False,False
5510daf6-b99e-4866-8f42-15c2fa5ee254,RANKED_SOLO_5x5,SILVER,II,czEdwNhX2LF_D_lkLu5qWdnCV7o3lNw72qc4u1seeAHnIy-h,36,112,98,False,False,False,False
f05363d0-7034-4261-8f32-6546d09cd438,RANKED_SOLO_5x5,SILVER,II,SWodI86IY6pEGPDFGjw0elXRUVQ_Q_IjykacA5jFyhPblbmm,67,145,116,False,False,True,False
30912509-cb41-41d3-9908-637a194deee8,RANKED_SOLO_5x5,SILVER,II,xVV09ssbQPX5qinumPYt_C1tx0V8jG7IiEzQ92vnVc4xOidf,93,114,102,False,False,False,False
00a17eed-2771-4db6-8926-5b88185bd467,RANKED_SOLO_5x5,SILVER,II,yygNDjrAjrgcFshPumWvTXR7VdYrHA7PynTyyCN63hHKHHQs,78,137,146,False,False,False,False
4c523bd5-054b-458e-aec0-b87b594393f8,RANKED_SOLO_5x5,SILVER,II,-udxI_ch-xikJSPmz4AOT3DcEreEIYKkAaR4cCfi5ThXYGzE,32,166,175,False,False,False,False
62b9d40b-dbe8-4264-aff5-cab4728b2fac,RANKED_SOLO_5x5,SILVER,II,uroulOVJif4nI-ESKo2QOYxpFGq7V0Ob6zVHhyuMJ_mN5AXf,83,101,111,False,False,True,False
59ce561a-c7b7-4157-97ca-3bee227d115e,RANKED_SOLO_5x5,SILVER,II,JYlBrqHjTZX0xmBFyCA5CZa-DSUpeW0uvmikdRlAC2sKzyhf,73,97,104,False,False,False,False
e6597b3e-b571-448c-96ba-fd9126929727,RANKED_SOLO_5x5,SILVER,II,OS-sCLCPUWhvNRWkon0x3GV-deaIHYxzGAUIsffI_9iMVRIT,77,161,155,False,False,True,False
4aea1873-072a-444d-94cd-84e68d764c56,RANKED_SOLO_5x5,SILVER,II,Z1ZEKhWd6Qr_d1opLGTg0ZkM-8ch-ZGzmPpRqoaPTpTe97Hi,65,218,224,False,False,True,False
1c0af99e-2935-434b-8d23-912253adcb08,RANKED_SOLO_5x5,SILVER,II,vCtviIDTA5PFVIcv85_zqpXucnALpb9BTPuTWjhP6AuCGNCy,14,122,113,False,False,False,False
625df931-644d-4d1e-87f4-2e8601ad8d38,RANKED_SOLO_5x5,SILVER,II,nm6lwSi0_5itBZTFWNjS0z_FcI35lOwSKG-BSbxmYqAYjmjB,63,139,131,False,False,False,True
59c8860c-7a0e-4723-9ce0-fe4fa62caf5a,RANKED_SOLO_5x5,SILVER,II,zjvJcuei0u9hzs8HfqjLAXZNJkcbWOGCMAUjGO0LBhAXlXLU,14,120,108,False,False,False,False
bacf9351-cc62-4441-97e7-51eb91e8105d,RANKED_SOLO_5x5,SILVER,II,29JXuouVjJK6GN1WLPhRTjG7llt6V6OQDgsP6dZJPJqcQKE1,96,184,183,False,False,False,False
56695509-39f0-4cf3-a12d-a30a039978da,RANKED_SOLO_5x5,SILVER,II,yi3w6-fffiLCuQ_qEjSqA5eelrGXYctcvWKO1roOHWcynSL1,97,137,129,False,False,False,True
4f050ea1-0293-42ba-82e3-975550f99764,RANKED_SOLO_5x5,SILVER,II,q9SrbajUnSy4EksrCZwpN-ea9AhvqNmdcmguth5iaEcVRWPu,41,110,117,False,False,False,False
3f78ad01-2386-453e-8051-cc4b79d3a51c,RANKED_SOLO_5x5,SILVER,II,wIoPZ3tRfNTINEVbB61wdAzUFpn5UFWpAdFiY_3SnlSBEh-Z,27,272,269,False,False,False,False
800890d1-3f5a-41d1-a572-85bbc26982b7,RANKED_SOLO_5x5,SILVER,II,FSzhqSmi8W7oemFEYBqzwbBsFdCi8dWBV52at3u6e9fbq-ce,4,161,144,False,False,False,True
