leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
06582660-6474-42c7-8666-4cafe6d7a727,RANKED_SOLO_5x5,SILVER,III,Luc5Dbb7Kg36joSDmN2RxY_d97DjZwfRchQS8ZQoAt7irlIJ,53,111,111,False,False,False,False
c4b61cec-7068-4885-a1be-550ac4d21060,RANKED_SOLO_5x5,SILVER,III,2URfHzv3Ooqxk8GUuGOdhuG7Lwk9IHSAuKY2-g4DJ4tzX1-m,32,118,108,False,False,True,False
9ec9a6e1-b3ca-49a1-8a05-f0c764863b3f,RANKED_SOLO_5x5,SILVER,III,PpYWzC4rFKqXUUcrfGCUj3Mi4PXstCyjh9Xv-s_FBaNrJJRS,85,147,134,False,False,True,False
b192bfd7-b745-42e4-8c30-36e489f0ae39,RANKED_SOLO_5x5,SILVER,III,e5h8bRErh4mOgftoZI_TUHhpfZsu5-CSk-ArLU663bQibR1e,7,112,113,False,False,False,False
ef81c31d-2c9c-4197-9b5c-f7cbb9bac826,RANKED_SOLO_5x5,SILVER,III,mG68fCwQ2G4SlM-853yadjc1IvmX8gUFMar78dD23oo-X59Z,21,222,221,False,False,False,False
19354f66-3261-4ed5-997a-ef461dbff668,RANKED_SOLO_5x5,SILVER,III,67ZSXX07be_tV1LBaonGnZLsdiNgSJtWSarVorqzdCu6mZEV,13,217,235,False,False,True,False
132b33c4-d018-495e-9a49-8a2dcbdbf6f3,RANKED_SOLO_5x5,SILVER,III,MqaT-WBO4sh3FYucuaOguxEtfKHpviwBVbQ2Bsjf5rz2BtA2,24,101,114,False,False,False,False
88c08e08-b116-4288-a777-0374b738a442,RANKED_SOLO_5x5,SILVER,III,CDrwI8DSjztecuhmGzSXZS92aKc2oLNxaGi0d9-Qw1GifbR9,71,156,143,False,False,False,False
1c0af99e-2935-434b-8d23-912253adcb08,RANKED_SOLO_5x5,SILVER,III,vCtviIDTA5PFVIcv85_zqpXucnALpb9BTPuTWjhP6AuCGNCy,75,118,111,False,False,False,False
1a2cff95-d737-40a0-9b69-522aad9cdd07,RANKED_SOLO_5x5,SILVER,III,HJ9BPlW9ixyo_KdnuZUBV8RSusybj0CJ3bNFzZtQqSibfCz2,54,118,109,False,False,False,True
59c8860c-7a0e-4723-9ce0-fe4fa62caf5a,RANKED_SOLO_5x5,SILVER,III,zjvJcuei0u9hzs8HfqjLAXZNJkcbWOGCMAUjGO0LBhAXlXLU,59,112,102,False,False,False,False
09257d4a-cae0-4023-b94c-21bf32af4845,RANKED_SOLO_5x5,SILVER,III,7Yoxu-fABHLM8_UGIfvwX9jGOLHHhw7o9TPmYAh_LJomIyUF,64,169,164,False,False,False,False
3f548c70-4f90-4868-a4af-9e126d388a2b,RANKED_SOLO_5x5,SILVER,III,Ad5d9hcdUWFMBKHIidAMEdCOLHUfxDfPVytXLGGiv2ZQuifx,88,112,90,False,False,False,False
1761f973-1d4d-44b2-a51d-abaf97d5ea26,RANKED_SOLO_5x5,SILVER,III,QeF1HCfCx2_ZPAYNevuzkuJQbulhN2n6xaQN24EY47jBETcq,12,118,121,False,False,False,False
d9b3b612-7936-4e1a-8922-77ff59fd0f41,RANKED_SOLO_5x5,SILVER,III,CfGK-O_pRWss632OM84GDiXF03F0c22ik9F3Ln9rpiokG5Kk,94,114,95,False,False,False,False
